RESVEL 25.0
    5383.4880000000002838       1.0000000000000000*************************
    5383.6675999999997657      -2.2516468081940402       4.7074205937490001
    5383.8470999999999549       1.6845973743697500       4.4272440216847002
    5384.0267000000003463      -1.2228657409182899       4.5431298135400997
    5384.2062999999998283      -9.8092874287055398       4.7058661516217999
    5384.3859000000002197      -3.3612670818052099       5.1332558975926004
    5384.5654999999997017      -4.2943090451759396       4.5822451270008999
    5384.7451000000000931       8.0928108997132409       4.3368800881939000
    5384.9246999999995751       7.3751462985659497       4.3621399921434998
    5385.1044000000001688       9.4926129055801507       4.7400226730875996
    5385.2839999999996508       7.0108936435202800       4.9287270393501004
    5385.4636000000000422       1.2781802583275701       4.4389187761378999
    5385.6432999999997264       6.1617352744270297       4.1573794490902003
    5385.8229000000001179       6.6925996953997497       4.2138787862802003
    5386.0025999999998021       1.8919714431420400       4.8569574598456997
    5386.1822000000001935      -6.5818314600670398       4.8232881882442999
    5386.3618999999998778      -3.7117995052135102       4.4095500910796996
    5386.5415999999995620      -7.3467219553364496       4.2897129527478004
    5386.7211999999999534       1.7645364822230800       4.0074574437062003
    5386.9008999999996377       0.9483722709926700       4.7020071856412997
    5387.0806000000002314       3.6713911533624199       4.6645751158398996
    5387.2602999999999156       4.9956693341402199       4.4924026263670003
    5387.4399999999995998       3.4405577675568799       4.2002324262275996
    5387.6197000000001935       5.8366618787535200       4.0905685244210996
    5387.7993999999998778      -0.3446457808908300       4.5494153563040003
    5387.9790999999995620      -3.8546722731174898       4.5763464561267000
    5388.1588000000001557      10.9578247469012204       4.5109250949661002
    5388.3386000000000422       7.2624240537674103       4.1331731233938998
    5388.5182999999997264      -1.9038289476642101       3.9536318490182998
    5388.6980999999996129      -2.7208462863580398       4.4698976676236999
    5388.8778000000002066       1.7345743345461500       4.2218989724896003
    5389.0576000000000931      10.5290034164857307       4.7887425897310001
    5389.2372999999997774       7.6184647001781398       4.2396718901017003
    5389.4170999999996639      -5.8060383270809899       4.0759037029091001
