total_N_s3,s3_comp,total_N_s5,s5_comp
4.31E+12,0.983333,4.31E+12,0.566667
5.15E+12,1,5.15E+12,0.916667
9.17E+12,1,9.17E+12,1
2.03E+13,1,1.80E+13,1
5.65E+13,1,5.65E+13,1
