total_N_s3,s3_comp,total_N_s5,s5_comp
2.68E+13,1,2.68E+13,0.981481
3.45E+13,1,3.45E+13,0.814815
1.09E+13,0.924242,1.09E+13,0.651515
2.01E+13,1,2.01E+13,1
1.53E+13,0.6,2.44E+13,1
2.44E+13,1,0,1
1.74E+14,1,0,1
