zbin_low,zbin_high,ew_bin_low,ew_bin_high,dz,dx,N,Nrec,Ncomp,fN,fNrec,fNcomp,fp_disc,fp_rec,fp_com
2,3,0,0.3,4,13.1232,4,8.398,9.4829,2,3.925,4.081,0.5,0.5326,0.5696
3,4,0,0.3,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0,0.3,5.8,24.8372,2,13.333,16.13,1,1.068,1.0759,0.5,0.9198,0.9332
2,5.45,0,0.3,13.8,53.0536,6,22.1469,30.186,3,7.216,7.438,0.5,0.6741,0.7535
2,3,0.3,0.6,4,13.1232,3,4.111,4.274,1,1.204,1.204,0.6666,0.7071,0.7182
3,4,0.3,0.6,4,15.0932,3,4.0969,4.297,2,2.7739,2.793,0.3333,0.3229,0.35
4,5.45,0.3,0.6,5.8,24.8372,3,3.944,4.4349,1,1.0149,1.029,0.6666,0.7426,0.7679
2,5.45,0.3,0.6,13.8,53.0536,9,12.22,13.274,4,4.865,4.976,0.5555,0.6018,0.6251
2,3,0.6,1,0,0,0,0,0,0,0,0,0,0,0
3,4,0.6,1,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0.6,1,5.8,24.8372,1,1.053,1.0759,1,1.006,1.0209,0,0.0446,0.0511
2,5.45,0.6,1,13.8,53.0536,1,1.105,1.134,1,1.084,1.091,0,0.019,0.0379
2,3,1,120,4,13.1232,3,3.333,3.37,2,2.234,2.247,0.3333,0.3297,0.3332
3,4,1,120,4,15.0932,1,1.052,1.063,0,0,0,1,1,1
4,5.45,1,120,5.8,24.8372,3,3.013,3.02,1,1.006,1.006,0.6666,0.6661,0.6668
2,5.45,1,120,13.8,53.0536,7,7.343,7.42,3,3.158,3.178,0.5714,0.5699,0.5716
2,3,0,1,4,13.1232,7,11.992,12.946,3,4.875,4.98,0.5714,0.5934,0.6153
3,4,0,1,4,15.0932,3,4.0969,4.297,2,2.7739,2.793,0.3333,0.3229,0.35
4,5.45,0,1,5.8,24.8372,6,10.571,11.91,3,3.09,3.1269,0.5,0.7076,0.7374
2,5.45,0,1,13.8,53.0536,16,27.95,31.294,8,11.734,11.99,0.5,0.5801,0.6168
2,3,0.3,1,4,13.1232,3,4.111,4.274,1,1.204,1.204,0.6666,0.7071,0.7182
3,4,0.3,1,4,15.0932,3,4.0969,4.297,2,2.7739,2.793,0.3333,0.3229,0.35
4,5.45,0.3,1,5.8,24.8372,4,4.954,5.409,2,2.0219,2.05,0.5,0.5918,0.621
2,5.45,0.3,1,13.8,53.0536,10,13.284,14.329,5,5.939,6.053,0.5,0.5529,0.5775
2,3,0,120,4,13.1232,10,14.779,15.533,5,6.882,6.975,0.5,0.5343,0.5509
3,4,0,120,4,15.0932,4,5.096,5.285,2,2.7739,2.793,0.5,0.4556,0.4715
4,5.45,0,120,5.8,24.8372,9,12.718,13.54,4,4.0969,4.1339,0.5555,0.6778,0.6946
2,5.45,0,120,13.8,53.0536,23,33.51,35.874,11,14.582,14.821,0.5217,0.5648,0.5868
2,3,0,0.23,4,13.1232,2,5.534,6.916,2,3.925,4.081,0,0.2907,0.4099
3,4,0,0.23,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0,0.23,5.8,24.8372,1,18.16,145.065,0,0,0,1,1,1
2,5.45,0,0.23,13.8,53.0536,3,17.599,25.004,2,10.182,10.901,0.3333,0.4214,0.564
2,3,0.23,0.3,4,13.1232,2,3.388,3.615,0,0,0,1,1,1
3,4,0.23,0.3,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0.23,0.3,5.8,24.8372,1,10.4,29.055,1,1.068,1.0759,0,0.8973,0.9629
2,5.45,0.23,0.3,13.8,53.0536,3,8.103,10.8359,1,1.18,1.196,0.6666,0.8543,0.8896
