ewbin_low,ewbin_high,minew3,maxew3,minew5,maxew5
0,0.23,0.077,0.222,0.117,0.222
0.23,0.3,0.252,0.298,0.254,0.298
0.3,0.5,0.309,0.446,0.309,0.446
0.5,1,0.5,0.734,0.549,0.734
1,2,1.481,1.636,1.481,1.636
2,120,2.081,3.655,2.081,3.655
