lowz,highz,ewlow,ewhigh,dz,dx,N,Nrec,Ncomp,N_fp,Nrec_fp,Ncomp_fp,fp,fp_rec,fp_comp,dndz,dndz_rec,dndz_comp,dndz_fp,dndz_rec_fp,dndz_comp_fp
2,3,0,0.3,4,47.2,4,8.39,9.48,2,3.92,4.08,0.5,0.53,0.56,1,2.09,2.37,0.5,1.11,1.32
3,4,0,0.3,4,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0,0.3,5.8,143.4,2,26.44,96.78,1,1.06,1.07,0.5,0.95,0.98,0.34,4.55,16.68,0.17,4.33,16.35
2,5.45,0,0.3,13.8,259.48,6,22.14,30.18,3,7.21,7.43,0.5,0.67,0.75,0.43,1.6,2.18,0.21,1.07,1.64
2,3,0.3,0.6,4,47.2,3,4.11,4.27,1,1.2,1.2,0.66,0.7,0.71,0.75,1.02,1.06,0.49,0.71,0.75
3,4,0.3,0.6,4,68.84,3,4.09,4.29,2,2.77,2.79,0.33,0.32,0.34,0.75,1.02,1.07,0.24,0.32,0.36
4,5.45,0.3,0.6,5.8,143.4,3,3.94,4.43,1,1.01,1.02,0.66,0.74,0.76,0.51,0.67,0.76,0.34,0.5,0.58
2,5.45,0.3,0.6,13.8,259.48,9,12.22,13.27,4,4.86,4.97,0.55,0.6,0.62,0.65,0.88,0.96,0.35,0.53,0.59
2,3,0.6,1,13.8,259.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.6,1,13.8,259.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0.6,1,5.8,143.4,1,1.05,1.07,1,1,1.02,0,0.04,0.04,0.17,0.18,0.18,0,0,0
2,5.45,0.6,1,13.8,259.48,1,1.1,1.13,1,1.08,1.09,0,0.01,0.03,0.07,0.07,0.08,0,0,0
2,3,1,120,4,47.2,3,3.33,3.37,2,2.23,2.24,0.33,0.33,0.33,0.75,0.83,0.84,0.24,0.27,0.27
3,4,1,120,4,68.84,1,1.05,1.06,0,0,0,1,1,1,0.25,0.26,0.26,0.25,0.26,0.26
4,5.45,1,120,5.8,143.4,3,3.01,3.02,1,1,1,0.66,0.66,0.66,0.51,0.51,0.52,0.34,0.34,0.34
2,5.45,1,120,13.8,259.48,7,7.34,7.42,3,3.15,3.17,0.57,0.57,0.57,0.5,0.53,0.53,0.28,0.3,0.3
2,3,0,1,4,47.2,7,11.99,12.94,3,4.87,4.98,0.57,0.59,0.61,1.75,2.99,3.23,0.99,1.76,1.97
3,4,0,1,4,68.84,3,4.09,4.29,2,2.77,2.79,0.33,0.32,0.34,0.75,1.02,1.07,0.24,0.32,0.36
4,5.45,0,1,5.8,143.4,6,10.57,11.91,3,3.09,3.12,0.5,0.7,0.73,1.03,1.82,2.05,0.51,1.27,1.49
2,5.45,0,1,13.8,259.48,16,27.95,31.29,8,11.73,11.99,0.5,0.58,0.61,1.15,2.02,2.26,0.57,1.17,1.38
2,3,0.3,1,4,47.2,3,4.11,4.27,1,1.2,1.2,0.66,0.7,0.71,0.75,1.02,1.06,0.49,0.71,0.75
3,4,0.3,1,4,68.84,3,4.09,4.29,2,2.77,2.79,0.33,0.32,0.34,0.75,1.02,1.07,0.24,0.32,0.36
4,5.45,0.3,1,5.8,143.4,4,4.95,5.4,2,2.02,2.04,0.5,0.59,0.62,0.68,0.85,0.93,0.34,0.5,0.57
2,5.45,0.3,1,13.8,259.48,10,13.28,14.32,5,5.93,6.05,0.5,0.55,0.57,0.72,0.96,1.03,0.36,0.52,0.59
2,3,0,120,4,47.2,10,14.77,15.53,5,6.88,6.97,0.5,0.53,0.55,2.5,3.69,3.88,1.25,1.95,2.13
3,4,0,120,4,68.84,4,5.09,5.28,2,2.77,2.79,0.5,0.45,0.47,1,1.27,1.32,0.5,0.57,0.62
4,5.45,0,120,5.8,143.4,9,12.71,13.54,4,4.09,4.13,0.55,0.67,0.69,1.55,2.19,2.33,0.85,1.46,1.61
2,5.45,0,120,13.8,259.48,23,33.51,35.87,11,14.58,14.82,0.52,0.56,0.58,1.66,2.42,2.59,0.86,1.35,1.5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
_,,,,,,,,,,,,,,,,,,,,
