lowz,highz,ewlow,ewhigh,localN3,dndz,recN3,rec3,rec_dndz,compN3,comp3,comp_dndz
2,3,0,0.3,5,1.25,8.365,0.597,2.091,10.349,0.483,2.587
3,4,0,0.3,2,0.5,4.502,0.444,1.125,7.673,0.26,1.918
4,5.45,0,0.3,3,0.517,6.928,0.433,1.194,21.936,0.136,3.782
2,5.45,0,0.3,10,0.724,19.467,0.513,1.41,34.356,0.291,2.489
2,3,0.3,0.6,4,1,4.889,0.818,1.222,5.034,0.794,1.258
3,4,0.3,0.6,3,0.75,3.6,0.833,0.9,3.81,0.787,0.952
4,5.45,0.3,0.6,3,0.517,3.229,0.928,0.556,3.626,0.827,0.625
2,5.45,0.3,0.6,10,0.724,11.621,0.86,0.842,12.622,0.792,0.914
2,3,0.6,1,0,0,0,0,0,0,0,0
3,4,0.6,1,0,0,0,0,0,0,0,0
4,5.45,0.6,1,1,0.172,1.041,0.96,0.179,1.041,0.96,0.179
2,5.45,0.6,1,1,0.072,1.061,0.942,0.076,1.074,0.93,0.077
2,3,1,120,3,0.75,3.296,0.909,0.824,3.321,0.903,0.83
3,4,1,120,1,0.25,1.02,0.979,0.255,1.052,0.949,0.263
4,5.45,1,120,3,0.517,3,1,0.517,3,1,0.517
2,5.45,1,120,7,0.507,7.212,0.97,0.522,7.305,0.958,0.529
2,3,0,1,9,2.25,12.967,0.694,3.241,14.512,0.62,3.628
3,4,0,1,5,1.25,7.363,0.679,1.84,8.627,0.579,2.156
4,5.45,0,1,7,1.206,9.685,0.722,1.669,12.613,0.554,2.174
2,5.45,0,1,21,1.521,30.057,0.698,2.178,37.448,0.56,2.713
2,3,0.3,1,4,1,4.889,0.818,1.222,5.034,0.794,1.258
3,4,0.3,1,3,0.75,3.6,0.833,0.9,3.81,0.787,0.952
4,5.45,0.3,1,4,0.689,4.271,0.936,0.736,4.65,0.86,0.801
2,5.45,0.3,1,11,0.797,12.678,0.867,0.918,13.674,0.804,0.99
2,3,0,120,12,3,16.078,0.746,4.019,17.409,0.689,4.352
3,4,0,120,6,1.5,8.249,0.727,2.062,9.382,0.639,2.345
4,5.45,0,120,10,1.724,12.451,0.803,2.146,14.579,0.685,2.513
2,5.45,0,120,28,2.028,36.628,0.764,2.654,42.544,0.658,3.082
2,3,0,0.23,3,0.75,6.232,0.481,1.558,9.225,0.325,2.306
3,4,0,0.23,1,0.25,4.382,0.228,1.095,50.023,0.019,12.505
4,5.45,0,0.23,2,0.344,6.592,0.303,1.136,27.735,0.072,4.782
2,5.45,0,0.23,6,0.434,15.468,0.387,1.12,36.483,0.164,2.643
2,3,0.23,0.3,2,0.5,2.602,0.768,0.65,2.799,0.714,0.699
3,4,0.23,0.3,1,0.25,1.532,0.652,0.383,2.026,0.493,0.506
4,5.45,0.23,0.3,1,0.172,1.457,0.686,0.251,3.782,0.264,0.652
2,5.45,0.23,0.3,4,0.289,5.734,0.697,0.415,8.393,0.476,0.608
