lowz,highz,ewlow,ewhigh,localN3,dndz,recN3,rec3,rec_dndz,compN3,comp3,comp_dndz
2,3,0,0.3,3,0.75,4.864,0.616,1.216,5.251,0.571,1.312
3,4,0,0.3,0,0,0,0,0,0,0,0
4,5.45,0,0.3,3,0.517,6.658,0.45,1.148,7.573,0.396,1.305
2,5.45,0,0.3,6,0.434,12.485,0.48,0.904,14.905,0.402,1.08
2,3,0.3,0.6,1,0.25,1.162,0.859,0.29,1.162,0.859,0.29
3,4,0.3,0.6,2,0.5,2.345,0.852,0.586,2.413,0.828,0.603
4,5.45,0.3,0.6,1,0.172,1.001,0.998,0.172,1.008,0.991,0.173
2,5.45,0.3,0.6,4,0.289,4.427,0.903,0.32,4.48,0.892,0.324
2,3,0.6,1,0,0,0,0,0,0,0,0
3,4,0.6,1,0,0,0,0,0,0,0,0
4,5.45,0.6,1,1,0.172,1.006,0.993,0.173,1.006,0.993,0.173
2,5.45,0.6,1,1,0.072,1.058,0.944,0.076,1.064,0.939,0.077
2,3,1,120,2,0.5,2.197,0.909,0.549,2.209,0.904,0.552
3,4,1,120,0,0,0,0,0,0,0,0
4,5.45,1,120,1,0.172,1,1,0.172,1,1,0.172
2,5.45,1,120,3,0.217,3.086,0.971,0.223,3.101,0.967,0.224
2,3,0,1,4,1,5.912,0.676,1.478,6.227,0.642,1.556
3,4,0,1,2,0.5,2.345,0.852,0.586,2.413,0.828,0.603
4,5.45,0,1,5,0.862,7.495,0.667,1.292,7.897,0.633,1.361
2,5.45,0,1,11,0.797,16.269,0.676,1.178,17.478,0.629,1.266
2,3,0.3,1,1,0.25,1.162,0.859,0.29,1.162,0.859,0.29
3,4,0.3,1,2,0.5,2.345,0.852,0.586,2.413,0.828,0.603
4,5.45,0.3,1,2,0.344,2.008,0.995,0.346,2.015,0.992,0.347
2,5.45,0.3,1,5,0.362,5.484,0.911,0.397,5.543,0.901,0.401
2,3,0,120,6,1.5,7.963,0.753,1.99,8.23,0.729,2.057
3,4,0,120,2,0.5,2.345,0.852,0.586,2.413,0.828,0.603
4,5.45,0,120,6,1.034,8.308,0.722,1.432,8.646,0.693,1.49
2,5.45,0,120,14,1.014,18.948,0.738,1.373,19.968,0.701,1.447
2,3,0,0.23,3,0.75,4.864,0.616,1.216,5.251,0.571,1.312
3,4,0,0.23,0,0,0,0,0,0,0,0
4,5.45,0,0.23,2,0.344,10.571,0.189,1.822,18.739,0.106,3.231
2,5.45,0,0.23,5,0.362,12.545,0.398,0.909,16.323,0.306,1.182
2,3,0.23,0.3,0,0,0,0,0,0,0,0
3,4,0.23,0.3,0,0,0,0,0,0,0,0
4,5.45,0.23,0.3,1,0.172,1.041,0.96,0.179,1.041,0.96,0.179
2,5.45,0.23,0.3,1,0.072,1.129,0.885,0.081,1.14,0.876,0.082
