SOL,zbin_low,zbin_high,ew_bin_low,ew_bin_high,lowN3,N3,highN3,lowN5,N5,highN5
S1306,4,5.45,0,1,3.05E+14,9.52E+14,4.19E+14,3.05E+14,9.52E+14,4.19E+14
U1319,4,5.45,0,1,4.19E+13,1.77E+14,1.02E+15,4.19E+13,1.77E+14,1.02E+15
S0927,4,5.45,0.3,1,0,0,0,0,0,0
U0148,4,5.45,0.3,1,3.70E+13,4.53E+13,4.94E+13,3.70E+13,4.53E+13,4.94E+13
S1306,4,5.45,0.3,1,3.05E+14,9.52E+14,4.19E+14,3.05E+14,9.52E+14,4.19E+14
U1319,4,5.45,0.3,1,3.05E+13,1.62E+14,9.98E+14,3.05E+13,1.62E+14,9.98E+14
S0927,4,5.45,0,120,2.63E+12,3.74E+12,4.86E+12,0,0,0
U0148,4,5.45,0,120,2.57E+14,3.29E+14,5.01E+14,2.57E+14,3.29E+14,5.01E+14
S1306,4,5.45,0,120,9.50E+15,3.40E+16,1.86E+17,9.50E+15,3.40E+16,1.86E+17
U1319,4,5.45,0,120,4.19E+13,1.77E+14,1.02E+15,4.19E+13,1.77E+14,1.02E+15
S0927,2,5.45,0,0.3,4.08E+13,5.01E+13,6.90E+13,3.28E+13,3.90E+13,5.49E+13
U0148,2,5.45,0,0.3,4.06E+12,5.64E+12,8.30E+12,2.92E+12,3.80E+12,4.52E+12
S1306,2,5.45,0,0.3,0,0,0,0,0,0
U1319,2,5.45,0,0.3,2.49E+13,2.88E+13,3.95E+13,2.03E+13,2.62E+13,3.61E+13
S0927,2,5.45,0.3,0.6,3.61E+13,4.34E+13,5.16E+13,9.88E+12,1.22E+13,1.43E+13
U0148,2,5.45,0.3,0.6,1.28E+14,3.76E+14,4.17E+14,1.28E+14,3.76E+14,4.17E+14
S1306,2,5.45,0.3,0.6,4.01E+14,6.17E+14,1.09E+15,4.01E+14,6.17E+14,1.09E+15
U1319,2,5.45,0.3,0.6,6.33E+13,2.09E+14,1.06E+15,6.33E+13,2.09E+14,1.06E+15
S0927,2,5.45,0.6,1,0,0,0,0,0,0
U0148,2,5.45,0.6,1,0,0,0,0,0,0
S1306,2,5.45,0.6,1,2.53E+14,8.93E+14,3.50E+14,2.53E+14,8.93E+14,3.50E+14
U1319,2,5.45,0.6,1,0,0,0,0,0,0
S0927,2,5.45,1,120,0,0,0,0,0,0
U0148,2,5.45,1,120,9.03E+14,1.11E+15,4.76E+15,9.03E+14,1.11E+15,4.76E+15
S1306,2,5.45,1,120,9.81E+15,3.38E+16,1.87E+17,9.81E+15,3.38E+16,1.87E+17
U1319,2,5.45,1,120,0,0,0,0,0,0
S0927,2,5.45,0,1,7.70E+13,9.36E+13,1.21E+14,4.27E+13,5.12E+13,6.92E+13
U0148,2,5.45,0,1,1.32E+14,3.82E+14,4.25E+14,1.31E+14,3.80E+14,4.21E+14
S1306,2,5.45,0,1,6.54E+14,1.51E+15,1.44E+15,6.54E+14,1.51E+15,1.44E+15
U1319,2,5.45,0,1,8.81E+13,2.38E+14,1.09E+15,8.36E+13,2.35E+14,1.09E+15
S0927,2,5.45,0.3,1,3.61E+13,4.34E+13,5.16E+13,9.88E+12,1.22E+13,1.43E+13
U0148,2,5.45,0.3,1,1.28E+14,3.76E+14,4.17E+14,1.28E+14,3.76E+14,4.17E+14
S1306,2,5.45,0.3,1,6.54E+14,1.51E+15,1.44E+15,6.54E+14,1.51E+15,1.44E+15
U1319,2,5.45,0.3,1,6.33E+13,2.09E+14,1.06E+15,6.33E+13,2.09E+14,1.06E+15
S0927,2,5.45,0,120,7.70E+13,9.36E+13,1.21E+14,4.27E+13,5.12E+13,6.92E+13
U0148,2,5.45,0,120,1.03E+15,1.49E+15,5.19E+15,1.03E+15,1.49E+15,5.19E+15
S1306,2,5.45,0,120,1.05E+16,3.53E+16,1.88E+17,1.05E+16,3.53E+16,1.88E+17
U1319,2,5.45,0,120,8.81E+13,2.38E+14,1.09E+15,8.36E+13,2.35E+14,1.09E+15
