       lambda          SN_2796        SN_2803
       8300.6100         8301.7200       0.259820      -0.848843
       8300.8900         8301.9900       0.321415     -0.0858979
       8301.1600         8302.2700      0.0824440       0.240743
       8301.4400         8302.5500       0.284631        1.08264
       8301.7200         8302.8200       0.968702        1.45120
       8301.9900         8303.1000        1.29190        1.71526
       8302.2700         8303.3800        1.37884        1.17957
       8302.5500         8303.6500        1.28243       0.672262
       8302.8200         8303.9300        1.40105      -0.105641
       8303.1000         8304.2100       0.670843      -0.706203
       8303.3800         8304.4900       0.204608      -0.459831
       8303.6500         8304.7600       0.214713      -0.471637
       8303.9300         8305.0400       0.404658      -0.399772
       8304.2100         8305.3200    -0.00429861      -0.524389
       8304.4900         8305.5900     0.00285688      -0.178595
       8304.7600         8305.8700      -0.329375      -0.213510
       8305.0400         8306.1500      -0.137431    -0.00181420
       8305.3200         8306.4200      -0.250606       0.443980
       8305.5900         8306.7000      -0.334666       0.822299
       8305.8700         8306.9800      -0.166671       0.746064
       8306.1500         8307.2600       0.269271       0.413848
       8306.4200         8307.5300       0.801713       0.217731
       8306.7000         8307.8100       0.939622      0.0353487
       8306.9800         8308.0900        1.04178      -0.218722
       8307.2600         8308.3600        1.01930      -0.503333
       8307.5300         8308.6400        1.24567      -0.204448
       8307.8100         8308.9200       0.517440      -0.197357
       8308.0900         8309.2000       0.261496      -0.291781
       8308.3600         8309.4700       0.384909     -0.0977215
       8308.6400         8309.7500       0.481661       0.319693
       8308.9200         8310.0300       0.392834       0.173778
       8309.2000         8310.3000       0.684377       0.442862
       8309.4700         8310.5800       0.913766       0.146189
       8309.7500         8310.8600        1.13009       0.429361
       8310.0300         8311.1400       0.885944       0.120372
       8310.3000         8311.4100       0.793426      -0.287231
       8310.5800         8311.6900       0.554705      -0.630159
       8310.8600         8311.9700       0.415015      -0.593933
       8311.1400         8312.2500       0.182143      -0.918669
       8311.4100         8312.5200       0.254957      -0.547195
       8311.6900         8312.8000       0.424199     -0.0571816
       8311.9700         8313.0800       0.127598     0.00399822
       8312.2500         8313.3500      0.0135675       0.318539
       8312.5200         8313.6300      0.0879208       0.383788
       8312.8000         8313.9100      -0.100782       0.219327
       8313.0800         8314.1900      -0.431322       0.350678
       8313.3500         8314.4600       0.274341       0.644990
       8313.6300         8314.7400       0.490217       0.802426
       8313.9100         8315.0200       0.217590       0.693739
       8314.1900         8315.3000       0.664708       0.807202
       8314.4600         8315.5700       0.783658        1.28044
       8314.7400         8315.8500       0.181491        1.07032
       8315.0200         8316.1300       0.435532       0.890070
       8315.3000         8316.4100       0.833271        1.23142
       8315.5700         8316.6800       0.765285        1.31864
       8315.8500         8316.9600       0.803895       0.754009
       8316.1300         8317.2400       0.825232       0.747236
       8316.4100         8317.5100       0.558128       0.532152
       8316.6800         8317.7900       0.520045       0.339333
       8316.9600         8318.0700       0.772998       0.203049
       8317.2400         8318.3500       0.687309      -0.113952
       8317.5100         8318.6200       0.680941      -0.260149
       8317.7900         8318.9000       0.817691      -0.183307
       8318.0700         8319.1800       0.453890      -0.488047
       8318.3500         8319.4600     -0.0974042      -0.261258
       8318.6200         8319.7300      0.0281279      -0.196407
       8318.9000         8320.0100     -0.0276936       0.350221
       8319.1800         8320.2900      0.0878877       0.679523
       8319.4600         8320.5700       0.906144       0.809205
       8319.7300         8320.8400        1.44646       0.561552
       8320.0100         8321.1200        1.07474       0.839732
       8320.2900         8321.4000       0.692206       0.800451
       8320.5700         8321.6800       0.490053       0.303981
       8320.8400         8321.9600      -0.290884       0.508333
       8321.1200         8322.2300      -0.593806       0.494060
       8321.4000         8322.5100      -0.509711       0.642165
       8321.6800         8322.7900      -0.286005      0.0681004
       8321.9600         8323.0700      -0.848843       0.111455
       8322.2300         8323.3400     -0.0858979     -0.0325103
       8322.5100         8323.6200       0.240743      -0.178302
       8322.7900         8323.9000        1.08264      -0.521414
       8323.0700         8324.1800        1.45120      -0.532316
       8323.3400         8324.4500        1.71526      -0.573982
       8323.6200         8324.7300        1.17957      -0.621786
       8323.9000         8325.0100       0.672262      -0.573552
       8324.1800         8325.2900      -0.105641      0.0848634
       8324.4500         8325.5600      -0.706203       0.808684
       8324.7300         8325.8400      -0.459831       0.750651
       8325.0100         8326.1200      -0.471637       0.804896
       8325.2900         8326.4000      -0.399772       0.956470
       8325.5600         8326.6800      -0.524389       0.932661
       8325.8400         8326.9500      -0.178595       0.363055
       8326.1200         8327.2300      -0.213510       0.488817
       8326.4000         8327.5100    -0.00181420       0.415607
       8326.6800         8327.7900       0.443980      0.0629281
       8326.9500         8328.0600       0.822299      -0.206000
       8327.2300         8328.3400       0.746064      -0.116683
       8327.5100         8328.6200       0.413848      0.0728950
       8327.7900         8328.9000       0.217731      0.0962669
       8328.0600         8329.1800      0.0353487       0.205601
       8328.3400         8329.4500      -0.218722       0.490023
       8328.6200         8329.7300      -0.503333       0.277945
       8328.9000         8330.0100      -0.204448       0.339215
       8329.1800         8330.2900      -0.197357       0.584941
       8329.4500         8330.5600      -0.291781       0.724816
       8329.7300         8330.8400     -0.0977215        1.10815
       8330.0100         8331.1200       0.319693        1.83687
       8330.2900         8331.4000       0.173778        2.55939
       8330.5600         8331.6800       0.442862        3.11742
       8330.8400         8331.9500       0.146189        3.95020
       8331.1200         8332.2300       0.429361        3.89524
       8331.4000         8332.5100       0.120372        3.35670
       8331.6800         8332.7900      -0.287231        2.31635
       8331.9500         8333.0700      -0.630159        1.00960
       8332.2300         8333.3400      -0.593933       0.478305
       8332.5100         8333.6200      -0.918669       0.441265
       8332.7900         8333.9000      -0.547195       0.297726
       8333.0700         8334.1800     -0.0571816       0.522516
       8333.3400         8334.4600     0.00399822       0.540424
       8333.6200         8334.7300       0.318539       0.488968
       8333.9000         8335.0100       0.383788       0.343272
       8334.1800         8335.2900       0.219327       0.500315
       8334.4600         8335.5700       0.350678     -0.0479727
       8334.7300         8335.8500       0.644990       0.388428
       8335.0100         8336.1200       0.802426       0.320389
       8335.2900         8336.4000       0.693739       0.355854
       8335.5700         8336.6800       0.807202      0.0672423
       8335.8500         8336.9600        1.28044       0.341182
       8336.1200         8337.2400        1.07032      0.0350950
       8336.4000         8337.5100       0.890070      -0.298644
       8336.6800         8337.7900        1.23142       0.132572
       8336.9600         8338.0700        1.31864       0.491450
       8337.2400         8338.3500       0.754009       0.771607
       8337.5100         8338.6300       0.747236       0.906420
       8337.7900         8338.9100       0.532152        1.34630
       8338.0700         8339.1800       0.339333       0.993997
       8338.3500         8339.4600       0.203049       0.723810
       8338.6300         8339.7400      -0.113952       0.559284
       8338.9100         8340.0200      -0.260149       0.767848
       8339.1800         8340.3000      -0.183307       0.416372
       8339.4600         8340.5700      -0.488047       0.146702
       8339.7400         8340.8500      -0.261258       0.207028
       8340.0200         8341.1300      -0.196407       0.112654
       8340.3000         8341.4100       0.350221      -0.217898
       8340.5700         8341.6900       0.679523      0.0862418
       8340.8500         8341.9600       0.809205       0.113644
       8341.1300         8342.2400       0.561552       0.315585
       8341.4100         8342.5200       0.839732       0.666801
       8341.6900         8342.8000       0.800451       0.817523
       8341.9600         8343.0800       0.303981       0.812060
       8342.2400         8343.3600       0.508333        1.04104
       8342.5200         8343.6300       0.494060       0.689436
       8342.8000         8343.9100       0.642165       0.214527
       8343.0800         8344.1900      0.0681004      0.0747578
       8343.3600         8344.4700       0.111455      -0.427556
       8343.6300         8344.7500     -0.0325103      -0.383801
       8343.9100         8345.0300      -0.178302      0.0353017
       8344.1900         8345.3000      -0.521414       0.281662
       8344.4700         8345.5800      -0.532316        1.07488
       8344.7500         8345.8600      -0.573982        1.41084
       8345.0300         8346.1400      -0.621786        1.52922
       8345.3000         8346.4200      -0.573552        1.32251
       8345.5800         8346.7000      0.0848634       0.993996
       8345.8600         8346.9800       0.808684       0.447705
       8346.1400         8347.2500       0.750651       0.207989
       8346.4200         8347.5300       0.804896      -0.342621
       8346.7000         8347.8100       0.956470      -0.382235
       8346.9800         8348.0900       0.932661      -0.117357
       8347.2500         8348.3700       0.363055      -0.227382
       8347.5300         8348.6500       0.488817      -0.106367
       8347.8100         8348.9200       0.415607     -0.0228727
       8348.0900         8349.2000      0.0629281     -0.0365838
       8348.3700         8349.4800      -0.206000       0.282569
       8348.6500         8349.7600      -0.116683       0.325177
       8348.9200         8350.0400      0.0728950       0.351864
       8349.2000         8350.3200      0.0962669       0.608632
       8349.4800         8350.6000       0.205601       0.641803
       8349.7600         8350.8700       0.490023       0.107664
       8350.0400         8351.1500       0.277945       0.110858
       8350.3200         8351.4300       0.339215      -0.307100
       8350.6000         8351.7100       0.584941      -0.664761
       8350.8700         8351.9900       0.724816      -0.914408
       8351.1500         8352.2700        1.10815      -0.670604
       8351.4300         8352.5500        1.83687      -0.777638
       8351.7100         8352.8200        2.55939      -0.456072
       8351.9900         8353.1000        3.11742      -0.448477
       8352.2700         8353.3800        3.95020      -0.153587
       8352.5500         8353.6600        3.89524      -0.275788
       8352.8200         8353.9400        3.35670      -0.275036
       8353.1000         8354.2200        2.31635      -0.278622
       8353.3800         8354.5000        1.00960      -0.122522
       8353.6600         8354.7700       0.478305      -0.143190
       8353.9400         8355.0500       0.441265     -0.0984564
       8354.2200         8355.3300       0.297726     -0.0181697
       8354.5000         8355.6100       0.522516    -0.00906163
       8354.7700         8355.8900       0.540424      -0.198021
       8355.0500         8356.1700       0.488968      -0.114246
       8355.3300         8356.4500       0.343272      -0.273258
       8355.6100         8356.7300       0.500315      -0.297705
       8355.8900         8357.0000     -0.0479727      -0.489600
       8356.1700         8357.2800       0.388428      -0.568266
       8356.4500         8357.5600       0.320389      -0.337076
       8356.7300         8357.8400       0.355854      -0.158323
       8357.0000         8358.1200      0.0672423      -0.616297
       8357.2800         8358.4000       0.341182      -0.756004
       8357.5600         8358.6800      0.0350950      -0.577176
       8357.8400         8358.9600      -0.298644      -0.890593
       8358.1200         8359.2400       0.132572      -0.801708
       8358.4000         8359.5100       0.491450      -0.414133
       8358.6800         8359.7900       0.771607      -0.329775
       8358.9600         8360.0700       0.906420      -0.518953
       8359.2400         8360.3500        1.34630      -0.132437
       8359.5100         8360.6300       0.993997       0.918060
       8359.7900         8360.9100       0.723810        2.88979
       8360.0700         8361.1900       0.559284        6.12378
       8360.3500         8361.4700       0.767848        9.64548
       8360.6300         8361.7500       0.416372        13.0132
       8360.9100         8362.0200       0.146702        14.8638
       8361.1900         8362.3000       0.207028        14.5788
       8361.4700         8362.5800       0.112654        11.6877
       8361.7500         8362.8600      -0.217898        7.41570
       8362.0200         8363.1400      0.0862418        3.22492
       8362.3000         8363.4200       0.113644        1.51244
       8362.5800         8363.7000       0.315585       0.919190
       8362.8600         8363.9800       0.666801       0.919280
       8363.1400         8364.2500       0.817523       0.888802
       8363.4200         8364.5300       0.812060        1.06477
       8363.7000         8364.8100        1.04104       0.532140
       8363.9800         8365.0900       0.689436       0.425593
       8364.2500         8365.3700       0.214527       0.227484
       8364.5300         8365.6500      0.0747578      -0.206272
       8364.8100         8365.9300      -0.427556      -0.416024
       8365.0900         8366.2100      -0.383801      -0.325966
       8365.3700         8366.4900      0.0353017      -0.435696
       8365.6500         8366.7700       0.281662      -0.714938
       8365.9300         8367.0500        1.07488      -0.317975
       8366.2100         8367.3300        1.41084      -0.258954
       8366.4900         8367.6000        1.52922      -0.120524
       8366.7700         8367.8800        1.32251       0.733730
       8367.0500         8368.1600       0.993996        3.33582
       8367.3300         8368.4400       0.447705        6.79542
       8367.6000         8368.7200       0.207989        9.72051
       8367.8800         8369.0000      -0.342621        11.1578
       8368.1600         8369.2800      -0.382235        10.8521
       8368.4400         8369.5600      -0.117357        8.29548
       8368.7200         8369.8400      -0.227382        4.56912
       8369.0000         8370.1200      -0.106367        2.01054
       8369.2800         8370.4000     -0.0228727        1.11090
       8369.5600         8370.6700     -0.0365838       0.573781
       8369.8400         8370.9500       0.282569       0.526732
       8370.1200         8371.2300       0.325177       0.696194
       8370.4000         8371.5100       0.351864       0.537254
       8370.6700         8371.7900       0.608632       0.256949
       8370.9500         8372.0700       0.641803       0.337430
       8371.2300         8372.3500       0.107664     -0.0586385
       8371.5100         8372.6300       0.110858      -0.554203
       8371.7900         8372.9100      -0.307100      -0.752358
       8372.0700         8373.1900      -0.664761      -0.889799
       8372.3500         8373.4700      -0.914408       -1.08318
       8372.6300         8373.7500      -0.670604      -0.967898
       8372.9100         8374.0300      -0.777638      -0.725318
       8373.1900         8374.3100      -0.456072      -0.520088
       8373.4700         8374.5800      -0.448477      -0.281443
       8373.7500         8374.8600      -0.153587     -0.0811256
       8374.0300         8375.1400      -0.275788      -0.156278
       8374.3100         8375.4200      -0.275036      -0.271650
       8374.5800         8375.7000      -0.278622      -0.250212
       8374.8600         8375.9800      -0.122522      -0.310624
       8375.1400         8376.2600      -0.143190      -0.158934
       8375.4200         8376.5400     -0.0984564      -0.107101
       8375.7000         8376.8200     -0.0181697      -0.215024
       8375.9800         8377.1000    -0.00906163      -0.275270
       8376.2600         8377.3800      -0.198021      -0.100933
       8376.5400         8377.6600      -0.114246      -0.467504
       8376.8200         8377.9400      -0.273258      -0.305064
       8377.1000         8378.2200      -0.297705     -0.0683705
       8377.3800         8378.5000      -0.489600      -0.133042
       8377.6600         8378.7800      -0.568266      -0.204975
       8377.9400         8379.0600      -0.337076      -0.188893
       8378.2200         8379.3300      -0.158323      -0.797699
       8378.5000         8379.6100      -0.616297      -0.356967
       8378.7800         8379.8900      -0.756004       0.170140
       8379.0600         8380.1700      -0.577176      -0.291032
       8379.3300         8380.4500      -0.890593     -0.0294195
       8379.6100         8380.7300      -0.801708       0.184202
       8379.8900         8381.0100      -0.414133       0.128075
       8380.1700         8381.2900      -0.329775      -0.242963
       8380.4500         8381.5700      -0.518953       0.602172
       8380.7300         8381.8500      -0.132437     -0.0475146
       8381.0100         8382.1300       0.918060      -0.287067
       8381.2900         8382.4100        2.88979      -0.699032
       8381.5700         8382.6900        6.12378      -0.919420
       8381.8500         8382.9700        9.64548       -1.26103
       8382.1300         8383.2500        13.0132       -1.23197
       8382.4100         8383.5300        14.8638      -0.959230
       8382.6900         8383.8100        14.5788      -0.384509
       8382.9700         8384.0900        11.6877      -0.120465
       8383.2500         8384.3700        7.41570      0.0362496
       8383.5300         8384.6500        3.22492       0.197378
       8383.8100         8384.9300        1.51244     -0.0684693
       8384.0900         8385.2100       0.919190      -0.226594
       8384.3700         8385.4900       0.919280      -0.137716
       8384.6500         8385.7700       0.888802     -0.0343790
       8384.9300         8386.0400        1.06477       0.179362
       8385.2100         8386.3300       0.532140       0.560051
       8385.4900         8386.6000       0.425593       0.515330
       8385.7700         8386.8800       0.227484       0.315200
       8386.0400         8387.1600      -0.206272    -0.00265764
       8386.3300         8387.4400      -0.416024      -0.173141
       8386.6000         8387.7200      -0.325966      -0.566529
       8386.8800         8388.0000      -0.435696      -0.763767
       8387.1600         8388.2800      -0.714938      -0.529062
       8387.4400         8388.5600      -0.317975      -0.323720
       8387.7200         8388.8400      -0.258954      -0.201618
       8388.0000         8389.1200      -0.120524       0.104136
       8388.2800         8389.4000       0.733730       0.431018
       8388.5600         8389.6800        3.33582       0.385488
       8388.8400         8389.9600        6.79542       0.694155
       8389.1200         8390.2400        9.72051       0.793708
       8389.4000         8390.5200        11.1578       0.578664
       8389.6800         8390.8000        10.8521       0.574875
       8389.9600         8391.0800        8.29548       0.500253
       8390.2400         8391.3600        4.56912       0.244685
       8390.5200         8391.6400        2.01054       0.103145
       8390.8000         8391.9200        1.11090       0.481874
       8391.0800         8392.2000       0.573781       0.240541
       8391.3600         8392.4800       0.526732       0.204489
       8391.6400         8392.7600       0.696194       0.203612
       8391.9200         8393.0400       0.537254       0.177917
       8392.2000         8393.3200       0.256949       0.271436
       8392.4800         8393.6000       0.337430       0.345860
       8392.7600         8393.8800     -0.0586385       0.429598
       8393.0400         8394.1600      -0.554203       0.639968
       8393.3200         8394.4400      -0.752358       0.995408
       8393.6000         8394.7200      -0.889799        1.46808
       8393.8800         8395.0000       -1.08318        1.92857
       8394.1600         8395.2800      -0.967898        2.26380
       8394.4400         8395.5600      -0.725318        2.47851
       8394.7200         8395.8400      -0.520088        2.28873
       8395.0000         8396.1200      -0.281443        1.92297
       8395.2800         8396.4000     -0.0811256        2.11692
       8395.5600         8396.6800      -0.156278        2.13627
       8395.8400         8396.9600      -0.271650        1.97753
       8396.1200         8397.2400      -0.250212        2.05688
       8396.4000         8397.5200      -0.310624        1.97660
       8396.6800         8397.8000      -0.158934        1.49758
       8396.9600         8398.0800      -0.107101        1.16290
       8397.2400         8398.3600      -0.215024        1.65959
       8397.5200         8398.6400      -0.275270        1.79363
       8397.8000         8398.9200      -0.100933        2.50166
       8398.0800         8399.2000      -0.467504        2.99516
       8398.3600         8399.4800      -0.305064        3.06318
       8398.6400         8399.7600     -0.0683705        2.49988
       8398.9200         8400.0400      -0.133042        1.81240
       8399.2000         8400.3200      -0.204975       0.980871
       8399.4800         8400.6000      -0.188893      0.0659887
       8399.7600         8400.8800      -0.797699    -0.00155175
       8400.0400         8401.1600      -0.356967      -0.224639
       8400.3200         8401.4400       0.170140      -0.280786
       8400.6000         8401.7200      -0.291032      -0.154853
       8400.8800         8402.0000     -0.0294195      -0.158523
       8401.1600         8402.2900       0.184202      -0.508694
       8401.4400         8402.5700       0.128075      -0.544673
       8401.7200         8402.8500      -0.242963      -0.359198
       8402.0000         8403.1300       0.602172      -0.418624
       8402.2900         8403.4100     -0.0475146      -0.631406
       8402.5700         8403.6900      -0.287067      -0.696124
       8402.8500         8403.9700      -0.699032      -0.885789
       8403.1300         8404.2500      -0.919420      -0.775541
       8403.4100         8404.5300       -1.26103      -0.934593
       8403.6900         8404.8100       -1.23197      -0.618272
       8403.9700         8405.0900      -0.959230      -0.453671
       8404.2500         8405.3700      -0.384509      -0.338823
       8404.5300         8405.6500      -0.120465      -0.432168
       8404.8100         8405.9300      0.0362496       0.206564
       8405.0900         8406.2100       0.197378       0.556209
       8405.3700         8406.4900     -0.0684693       0.852446
       8405.6500         8406.7700      -0.226594        1.45157
       8405.9300         8407.0500      -0.137716        1.28023
       8406.2100         8407.3300     -0.0343790       0.918195
       8406.4900         8407.6100       0.179362       0.582497
       8406.7700         8407.8900       0.560051      0.0449219
       8407.0500         8408.1700       0.515330      -0.476637
       8407.3300         8408.4500       0.315200      -0.329814
       8407.6100         8408.7300    -0.00265764      -0.659988
       8407.8900         8409.0100      -0.173141      -0.700273
       8408.1700         8409.2900      -0.566529     -0.0456466
       8408.4500         8409.5800      -0.763767       0.284000
       8408.7300         8409.8600      -0.529062       0.321927
       8409.0100         8410.1400      -0.323720       0.524652
       8409.2900         8410.4200      -0.201618       0.693052
       8409.5800         8410.7000       0.104136       0.120246
       8409.8600         8410.9800       0.431018    -0.00213851
       8410.1400         8411.2600       0.385488       0.316720
       8410.4200         8411.5400       0.694155       0.442216
       8410.7000         8411.8200       0.793708       0.448876
       8410.9800         8412.1000       0.578664       0.718347
       8411.2600         8412.3800       0.574875        1.26248
       8411.5400         8412.6600       0.500253       0.824305
       8411.8200         8412.9400       0.244685       0.730543
       8412.1000         8413.2200       0.103145        1.00551
       8412.3800         8413.5000       0.481874        1.21687
       8412.6600         8413.7800       0.240541       0.980293
       8412.9400         8414.0600       0.204489        1.01404
       8413.2200         8414.3400       0.203612       0.936708
       8413.5000         8414.6300       0.177917       0.708137
       8413.7800         8414.9100       0.271436        1.41243
       8414.0600         8415.1900       0.345860        2.62510
       8414.3400         8415.4700       0.429598        4.00710
       8414.6300         8415.7500       0.639968        5.42388
       8414.9100         8416.0300       0.995408        6.48508
       8415.1900         8416.3100        1.46808        6.35005
       8415.4700         8416.5900        1.92857        5.69998
       8415.7500         8416.8700        2.26380        4.25915
       8416.0300         8417.1500        2.47851        2.78733
       8416.3100         8417.4300        2.28873        1.17676
       8416.5900         8417.7100        1.92297       0.620409
       8416.8700         8417.9900        2.11692      0.0767156
       8417.1500         8418.2800        2.13627       0.248680
       8417.4300         8418.5600        1.97753      -0.193403
       8417.7100         8418.8400        2.05688      -0.288978
       8417.9900         8419.1200        1.97660      -0.508772
       8418.2800         8419.4000        1.49758      -0.584854
       8418.5600         8419.6800        1.16290      -0.696250
       8418.8400         8419.9600        1.65959     -0.0552204
       8419.1200         8420.2400        1.79363       0.623156
       8419.4000         8420.5200        2.50166       0.884115
       8419.6800         8420.8000        2.99516       0.872521
       8419.9600         8421.0800        3.06318        1.15371
       8420.2400         8421.3700        2.49988       0.894659
       8420.5200         8421.6500        1.81240       0.237901
       8420.8000         8421.9300       0.980871       0.356161
       8421.0800         8422.2100      0.0659887       0.956025
       8421.3700         8422.4900    -0.00155175       0.593477
       8421.6500         8422.7700      -0.224639       0.731092
       8421.9300         8423.0500      -0.280786       0.972931
       8422.2100         8423.3300      -0.154853       0.359630
       8422.4900         8423.6100      -0.158523      -0.162135
       8422.7700         8423.8900      -0.508694      -0.216389
       8423.0500         8424.1700      -0.544673      -0.823182
       8423.3300         8424.4600      -0.359198      -0.843191
       8423.6100         8424.7400      -0.418624      -0.507679
       8423.8900         8425.0200      -0.631406      -0.569324
       8424.1700         8425.3000      -0.696124      -0.365450
       8424.4600         8425.5800      -0.885789     -0.0711653
       8424.7400         8425.8600      -0.775541      -0.156233
       8425.0200         8426.1400      -0.934593     -0.0186817
       8425.3000         8426.4200      -0.618272     -0.0781454
       8425.5800         8426.7000      -0.453671      -0.180344
       8425.8600         8426.9800      -0.338823     -0.0937103
