       lambda          SN_2796        SN_2803
       8676.2700         8678.5900       -1.93826        1.15582
       8676.5600         8678.8800       -1.63576       0.872034
       8676.8500         8679.1700       -1.60232       0.864664
       8677.1400         8679.4600       -1.45698       0.893287
       8677.4300         8679.7500       -1.56044        1.04677
       8677.7200         8680.0400       -1.46245        1.00101
       8678.0100         8680.3300       -1.29213        1.01420
       8678.3000         8680.6200       -1.29624       0.979438
       8678.5900         8680.9000       -1.17096        1.07770
       8678.8800         8681.1900       -1.22384        1.30381
       8679.1700         8681.4800       -1.40153        2.21257
       8679.4600         8681.7700       -1.13344        2.99412
       8679.7500         8682.0600       -1.00367        3.58326
       8680.0400         8682.3500      -0.987002        3.66688
       8680.3300         8682.6400      -0.933884        3.84076
       8680.6200         8682.9300       -1.10936        3.90630
       8680.9000         8683.2200      -0.957594        4.10364
       8681.1900         8683.5100       -1.07181        3.93824
       8681.4800         8683.8000      -0.944642        3.44857
       8681.7700         8684.0900      -0.715583        2.61025
       8682.0600         8684.3800      -0.569449        1.70970
       8682.3500         8684.6700      -0.439919        1.16400
       8682.6400         8684.9600      -0.287350       0.869647
       8682.9300         8685.2500      -0.120479       0.720408
       8683.2200         8685.5400      0.0301454       0.678029
       8683.5100         8685.8300       0.188842       0.268370
       8683.8000         8686.1200       0.384865       0.158168
       8684.0900         8686.4100       0.395217       0.404614
       8684.3800         8686.7000       0.314162       0.606365
       8684.6700         8686.9900       0.173355       0.422032
       8684.9600         8687.2800       0.137013       0.334706
       8685.2500         8687.5700       0.172815       0.134100
       8685.5400         8687.8600       0.254159      0.0595165
       8685.8300         8688.1500       0.105633     -0.0650852
       8686.1200         8688.4400       0.181188      0.0400451
       8686.4100         8688.7300       0.570892     -0.0346894
       8686.7000         8689.0200        1.42445      -0.260425
       8686.9900         8689.3100        2.55413      -0.506079
       8687.2800         8689.6000        4.09552      -0.478262
       8687.5700         8689.8900        5.04776      -0.524301
       8687.8600         8690.1800        5.70931      -0.487027
       8688.1500         8690.4600        5.80603      -0.480642
       8688.4400         8690.7500        6.42850      -0.561911
       8688.7300         8691.0400        6.65693      -0.523802
       8689.0200         8691.3300        6.49348      -0.603048
       8689.3100         8691.6200        6.09137      -0.567578
       8689.6000         8691.9200        5.26198      -0.370295
       8689.8900         8692.2100        3.88049      -0.121520
       8690.1800         8692.4900        3.00076       0.340482
       8690.4600         8692.7800        2.38314        1.24698
       8690.7500         8693.0700        2.26905        1.78658
       8691.0400         8693.3600        2.31099        2.29775
       8691.3300         8693.6500        2.53017        2.49568
       8691.6200         8693.9400        2.50969        2.82296
       8691.9200         8694.2300        2.29571        3.13783
       8692.2100         8694.5200        2.31298        3.19367
       8692.4900         8694.8100        2.57425        2.94067
       8692.7800         8695.1000        2.54219        2.72685
       8693.0700         8695.3900        2.73467        1.77889
       8693.3600         8695.6800        2.71357        1.11499
       8693.6500         8695.9700        2.47279       0.654512
       8693.9400         8696.2600        2.34105       0.557310
       8694.2300         8696.5500        2.56125       0.412389
       8694.5200         8696.8400        2.61180       0.141894
       8694.8100         8697.1300        2.53448     -0.0873894
       8695.1000         8697.4200        2.22671     -0.0728231
       8695.3900         8697.7100        2.22381      -0.242507
       8695.6800         8698.0000        1.90328      -0.138488
