       lambda          SN_2796        SN_2803
       8676.8500         8678.0100       -1.84488       0.810430
       8677.1400         8678.3000       -1.50976        1.20508
       8677.4300         8678.5900       -1.65444        1.16402
       8677.7200         8678.8800       -1.21911       0.714837
       8678.0100         8679.1700       -1.40106       0.906708
       8678.3000         8679.4600       -1.39909       0.820651
       8678.5900         8679.7500       -1.36573       0.927631
       8678.8800         8680.0400       -1.39204       0.856814
       8679.1700         8680.3300       -1.50092        1.26630
       8679.4600         8680.6200       -1.28184        1.01538
       8679.7500         8680.9000      -0.953037        1.50971
       8680.0400         8681.1900       -1.04741        1.61355
       8680.3300         8681.4800       -1.02765        2.90528
       8680.6200         8681.7700       -1.15118        4.54503
       8680.9000         8682.0600      -0.905237        5.71858
       8681.1900         8682.3500       -1.06954        5.81239
       8681.4800         8682.6400      -0.891399        5.60711
       8681.7700         8682.9300      -0.996986        4.32892
       8682.0600         8683.2200      -0.963715        2.81045
       8682.3500         8683.5100       -1.07599        1.92982
       8682.6400         8683.8000      -0.964222        1.03287
       8682.9300         8684.0900      -0.625863       0.646192
       8683.2200         8684.3800      -0.163450       0.644374
       8683.5100         8684.6700      0.0300809       0.458127
       8683.8000         8684.9600       0.350952       0.308129
       8684.0900         8685.2500       0.627823       0.665913
       8684.3800         8685.5400       0.396011       0.815218
       8684.6700         8685.8300       0.469061       0.186901
       8684.9600         8686.1200       0.429544      0.0966845
       8685.2500         8686.4100       0.202306       0.193867
       8685.5400         8686.7000      0.0624774       0.446623
       8685.8300         8686.9900      0.0510789       0.190795
       8686.1200         8687.2800     -0.0984369       0.563446
       8686.4100         8687.5700     -0.0376109       0.256310
       8686.7000         8687.8600       0.405548      0.0397652
       8686.9900         8688.1500      0.0305280      -0.375068
       8687.2800         8688.4400       0.460489      -0.470970
       8687.5700         8688.7300        1.14502      -0.561373
       8687.8600         8689.0200        2.35349      -0.529121
       8688.1500         8689.3100        4.07524      -0.600269
       8688.4400         8689.6000        7.14315      -0.572145
       8688.7300         8689.8900        8.76168      -0.454288
       8689.0200         8690.1800        9.46794      -0.559940
       8689.3100         8690.4600        8.46687      -0.336742
       8689.6000         8690.7500        7.09163      -0.463443
       8689.8900         8691.0400        4.95269      -0.552106
       8690.1800         8691.3300        3.42361      -0.704841
       8690.4600         8691.6200        2.66874      -0.675091
       8690.7500         8691.9200        2.84162      -0.405839
       8691.0400         8692.2100        2.48813       0.217407
       8691.3300         8692.4900        2.33549        1.10218
       8691.6200         8692.7800        2.38364        2.78190
       8691.9200         8693.0700        1.84428        3.95134
       8692.2100         8693.3600        1.94558        4.42022
       8692.4900         8693.6500        2.57094        4.21947
       8692.7800         8693.9400        2.54039        3.78627
       8693.0700         8694.2300        2.50018        2.69065
       8693.3600         8694.5200        2.88248        2.04386
       8693.6500         8694.8100        2.93746        1.31514
       8693.9400         8695.1000        2.37009        1.49776
       8694.2300         8695.3900        2.78759       0.910639
       8694.5200         8695.6800        2.61644       0.323258
       8694.8100         8695.9700        2.26098      -0.150974
       8695.1000         8696.2600        2.15393     -0.0764917
       8695.3900         8696.5500        2.57479      -0.393035
       8695.6800         8696.8400        2.28370      -0.266076
       8695.9700         8697.1300        2.55761      -0.131119
       8696.2600         8697.4200        2.50059   -0.000291897
       8696.5500         8697.7100        2.15195      0.0577854
       8696.8400         8698.0000        1.58146     -0.0830833
       8697.1300         8698.2900        1.30143     0.00778500
       8697.4200         8698.5900        1.09126      0.0174217
       8697.7100         8698.8800        1.29852     0.00433558
       8698.0000         8699.1700        1.02385      -0.121768
       8698.2900         8699.4600        1.09771      -0.145427
       8698.5900         8699.7500        1.13156       0.191650
       8698.8800         8700.0400        1.02689       0.106499
       8699.1700         8700.3300       0.810430       0.188631
       8699.4600         8700.6200        1.20508      -0.118794
       8699.7500         8700.9100        1.16402      -0.105667
       8700.0400         8701.2000       0.714837      -0.430259
       8700.3300         8701.4900       0.906708      -0.395834
       8700.6200         8701.7800       0.820651      -0.831799
       8700.9100         8702.0700       0.927631      -0.579361
       8701.2000         8702.3600       0.856814      -0.348966
       8701.4900         8702.6500        1.26630      -0.166040
       8701.7800         8702.9400        1.01538       0.171780
       8702.0700         8703.2300        1.50971       0.568989
       8702.3600         8703.5200        1.61355       0.865806
       8702.6500         8703.8100        2.90528       0.663280
       8702.9400         8704.1000        4.54503       0.835666
       8703.2300         8704.3900        5.71858        1.08600
