       lambda          SN_2796        SN_2803
       8505.7700         8508.0400       -12.0000        119.524
       8506.0600         8508.3300       -12.4355        106.658
       8506.3400         8508.6100       -12.9927        91.5563
       8506.6300         8508.9000       -14.0078        75.9266
       8506.9100         8509.1800       -15.1788        61.2277
       8507.1900         8509.4600       -14.8957        48.1945
       8507.4800         8509.7500       -13.3750        36.2856
       8507.7600         8510.0300       -10.0093        25.8900
       8508.0400         8510.3200       -4.27004        16.0189
       8508.3300         8510.6000        3.68350        7.41865
       8508.6100         8510.8800        12.7848        1.17824
       8508.9000         8511.1700        22.2830       -2.86998
       8509.1800         8511.4500        28.9528       -5.70487
       8509.4600         8511.7300        32.2922       -8.15390
       8509.7500         8512.0200        33.5202       -11.6955
       8510.0300         8512.3000        32.8740       -15.6700
       8510.3200         8512.5900        29.7327       -18.8224
       8510.6000         8512.8700        23.8703       -20.6461
       8510.8800         8513.1500        16.2135       -20.7443
       8511.1700         8513.4400        8.61625       -19.9208
       8511.4500         8513.7200        2.96525       -18.5228
       8511.7300         8514.0100        1.16096       -16.9577
       8512.0200         8514.2900        2.41865       -15.7696
       8512.3000         8514.5700        4.84854       -14.1327
       8512.5900         8514.8600        7.14289       -12.2518
       8512.8700         8515.1400        8.36959       -10.5428
       8513.1500         8515.4300        9.19284       -8.62149
       8513.4400         8515.7100        9.42202       -6.60558
       8513.7200         8515.9900        8.86937       -4.80349
       8514.0100         8516.2800        6.70643       -2.96059
       8514.2900         8516.5600        3.15905       -1.46742
       8514.5700         8516.8500       -1.08738      -0.234176
       8514.8600         8517.1300       -4.97118       0.186244
       8515.1400         8517.4200       -8.06354     -0.0595310
       8515.4300         8517.7000       -9.07533      -0.484914
       8515.7100         8517.9800       -9.04444       -1.12984
       8515.9900         8518.2700       -8.70712       -1.95796
       8516.2800         8518.5500       -8.63968       -3.03833
       8516.5600         8518.8400       -8.40549       -4.12377
       8516.8500         8519.1200       -8.06296       -5.10156
       8517.1300         8519.4000       -7.59953       -5.79350
       8517.4200         8519.6900       -7.18127       -5.87546
       8517.7000         8519.9700       -6.21530       -5.04891
       8517.9800         8520.2600       -4.99354       -4.47307
       8518.2700         8520.5400       -2.87035       -3.57107
       8518.5500         8520.8300      -0.431828       -2.89415
       8518.8400         8521.1100        2.01406       -1.93743
       8519.1200         8521.3900        4.39212       -1.00368
       8519.4000         8521.6800        6.86239      -0.284573
       8519.6900         8521.9600        9.16814       0.303728
       8519.9700         8522.2500        10.7357       0.600233
       8520.2600         8522.5300        11.0847       0.196491
       8520.5400         8522.8100        9.40326       0.240528
       8520.8300         8523.1000        6.18146     -0.0358035
       8521.1100         8523.3800        2.52697       0.167948
       8521.3900         8523.6700       -1.19143       0.324738
       8521.6800         8523.9500       -4.69206       0.432390
       8521.9600         8524.2400       -8.55299       0.726781
       8522.2500         8524.5200       -12.6445       0.936945
       8522.5300         8524.8000       -16.0682        1.53301
