       lambda          SN_2796        SN_2803
       8493.0200         8496.4200        12.9512      -0.820236
       8493.3000         8496.7000        9.82799      -0.730475
       8493.5800         8496.9800        5.72991      -0.486000
       8493.8700         8497.2700        1.65551      -0.419147
       8494.1500         8497.5500       -1.84156      -0.109776
       8494.4300         8497.8300       -4.53795    -0.00339910
       8494.7200         8498.1200       -6.58905      0.0737800
       8495.0000         8498.4000       -7.66826     -0.0212081
       8495.2800         8498.6800       -7.94999      -0.170321
       8495.5700         8498.9700       -8.33813     -0.0260015
       8495.8500         8499.2500       -8.28723      -0.124713
       8496.1300         8499.5400       -8.56071     -0.0115355
       8496.4200         8499.8200       -8.68291      0.0240469
       8496.7000         8500.1000       -8.92243     -0.0512375
       8496.9800         8500.3900       -9.05899      0.0369175
       8497.2700         8500.6700       -8.91746      -0.100681
       8497.5500         8500.9500       -8.52976     -0.0606892
       8497.8300         8501.2400       -7.97977      -0.251203
       8498.1200         8501.5200       -7.24256      -0.328852
       8498.4000         8501.8000       -6.05136      -0.398513
       8498.6800         8502.0900       -4.74899      -0.391171
       8498.9700         8502.3700       -3.62806      -0.275776
       8499.2500         8502.6500       -2.16958      -0.224963
       8499.5400         8502.9400      -0.698621      0.0187667
       8499.8200         8503.2200        1.02940       0.116425
       8500.1000         8503.5000        2.94065       0.239335
       8500.3900         8503.7900        4.92811       0.666725
       8500.6700         8504.0700        6.20594        1.04411
       8500.9500         8504.3600        6.67369        1.32407
       8501.2400         8504.6400        6.59491        1.57648
       8501.5200         8504.9200        6.39819        1.75053
       8501.8000         8505.2100        5.92874        1.76078
       8502.0900         8505.4900        5.03580        1.84605
       8502.3700         8505.7700        4.00475        1.85678
       8502.6500         8506.0600        3.17550        1.73434
       8502.9400         8506.3400        2.09118        1.56787
       8503.2200         8506.6300       0.876783        1.40280
       8503.5000         8506.9100      -0.356892        1.27750
       8503.7900         8507.1900       -1.69485        1.30064
       8504.0700         8507.4800       -3.11608        1.04111
       8504.3600         8507.7600       -4.00923       0.684973
       8504.6400         8508.0400       -4.33178       0.312361
       8504.9200         8508.3300       -4.49696      0.0463887
       8505.2100         8508.6100       -4.45564      -0.100508
       8505.4900         8508.9000       -4.49362      -0.138244
       8505.7700         8509.1800       -4.45357      -0.211360
       8506.0600         8509.4600       -4.35384      -0.255089
       8506.3400         8509.7500       -4.46205      -0.272507
       8506.6300         8510.0300       -4.34034      -0.154675
