       lambda          SN_2796        SN_2803
       8261.9400         8265.2400       0.671716       0.519336
       8262.2100         8265.5200       0.610961       0.557845
       8262.4900         8265.8000       0.701839       0.767869
       8262.7600         8266.0700       0.791814       0.939482
       8263.0400         8266.3500       0.772797        1.09700
       8263.3100         8266.6200       0.730707        1.02465
       8263.5900         8266.9000       0.767382        1.02714
       8263.8700         8267.1700       0.844162        1.01072
       8264.1400         8267.4500       0.810826        1.18175
       8264.4200         8267.7300       0.834918        1.19156
       8264.6900         8268.0000       0.669310        1.22334
       8264.9700         8268.2800       0.653421        1.03617
       8265.2400         8268.5500       0.585626        1.12503
       8265.5200         8268.8300       0.698617        1.17725
       8265.8000         8269.1000       0.647055        1.27402
       8266.0700         8269.3800       0.562463        1.37854
       8266.3500         8269.6600       0.719073        1.12879
       8266.6200         8269.9300       0.904906       0.940036
       8266.9000         8270.2100        1.12601       0.934086
       8267.1700         8270.4800        1.15075       0.910235
       8267.4500         8270.7600        1.07638        1.08869
       8267.7300         8271.0400        1.27259        1.01543
       8268.0000         8271.3100        1.55319       0.917754
       8268.2800         8271.5900        1.90403       0.859014
       8268.5500         8271.8600        2.10936       0.963679
       8268.8300         8272.1400        2.38924       0.925831
       8269.1000         8272.4200        2.33605       0.820584
       8269.3800         8272.6900        2.36714       0.709146
       8269.6600         8272.9700        2.37750       0.386593
       8269.9300         8273.2400        2.42741       0.427047
       8270.2100         8273.5200        2.38191       0.540410
       8270.4800         8273.7900        2.20848       0.508382
       8270.7600         8274.0700        2.14550       0.472773
       8271.0400         8274.3500        2.25250       0.253864
       8271.3100         8274.6200        2.23961      0.0919285
       8271.5900         8274.9000        2.01250       0.272127
       8271.8600         8275.1700        1.71978       0.481997
       8272.1400         8275.4500        1.50813       0.493602
       8272.4200         8275.7300        1.12602       0.553876
       8272.6900         8276.0000        1.01994       0.463123
       8272.9700         8276.2800        1.19047       0.377440
       8273.2400         8276.5600        1.59842       0.505254
       8273.5200         8276.8300        2.04148       0.416978
       8273.7900         8277.1100        2.44942       0.659901
       8274.0700         8277.3800        2.60695       0.656504
       8274.3500         8277.6600        2.73144       0.573166
       8274.6200         8277.9400        2.65568       0.593653
       8274.9000         8278.2100        2.48400       0.743061
       8275.1700         8278.4900        2.57744       0.683101
       8275.4500         8278.7600        2.57220       0.660678
       8275.7300         8279.0400        2.78274       0.623778
       8276.0000         8279.3200        2.91972       0.483117
       8276.2800         8279.5900        2.83480       0.665748
       8276.5600         8279.8700        2.57013       0.544376
       8276.8300         8280.1400        1.89817       0.465324
       8277.1100         8280.4200        1.29637       0.541735
       8277.3800         8280.7000       0.833417       0.342737
       8277.6600         8280.9700       0.513269       0.316739
       8277.9400         8281.2500       0.466081       0.377677
       8278.2100         8281.5300       0.412786       0.530639
       8278.4900         8281.8000       0.516630       0.667147
       8278.7600         8282.0800       0.530069       0.687789
       8279.0400         8282.3500       0.534420       0.564341
       8279.3200         8282.6300       0.369229       0.568806
       8279.5900         8282.9100       0.227459       0.593388
       8279.8700         8283.1800       0.339136       0.451303
       8280.1400         8283.4600       0.203439       0.553584
       8280.4200         8283.7400       0.303701       0.723824
       8280.7000         8284.0100       0.288311       0.601036
       8280.9700         8284.2900       0.392484       0.588905
