       lambda          SN_2796        SN_2803
       8262.4900         8264.6900       0.215842       0.597809
       8262.7600         8264.9700       0.570790       0.604217
       8263.0400         8265.2400       0.667415       0.788740
       8263.3100         8265.5200       0.850002       0.740149
       8263.5900         8265.8000        1.10328       0.703115
       8263.8700         8266.0700       0.964020        1.06604
       8264.1400         8266.3500       0.903519        1.43353
       8264.4200         8266.6200       0.919592        1.57129
       8264.6900         8266.9000       0.876546        1.70297
       8264.9700         8267.1700        1.02963        1.28794
       8265.2400         8267.4500       0.826143        1.37576
       8265.5200         8267.7300       0.683094        1.16995
       8265.8000         8268.0000       0.392608        1.08288
       8266.0700         8268.2800       0.143117       0.906007
       8266.3500         8268.5500       0.270632       0.782671
       8266.6200         8268.8300       0.558790       0.877191
       8266.9000         8269.1000       0.729083        1.10021
       8267.1700         8269.3800       0.808458        1.24613
       8267.4500         8269.6600       0.784379        1.19856
       8267.7300         8269.9300        1.04200        1.00623
       8268.0000         8270.2100        1.34451        1.05266
       8268.2800         8270.4800        1.58182        1.06039
       8268.5500         8270.7600        1.65209        1.25516
       8268.8300         8271.0400        1.82797        1.14018
       8269.1000         8271.3100        1.92001       0.841365
       8269.3800         8271.5900        2.20384       0.604634
       8269.6600         8271.8600        2.36739       0.406748
       8269.9300         8272.1400        2.67499       0.457337
       8270.2100         8272.4200        2.61732       0.635516
       8270.4800         8272.6900        2.51339       0.669667
       8270.7600         8272.9700        2.57400       0.387650
       8271.0400         8273.2400        2.73102       0.163465
       8271.3100         8273.5200        2.64464       0.284900
       8271.5900         8273.7900        2.29236       0.554996
       8271.8600         8274.0700        1.93592       0.641771
       8272.1400         8274.3500        1.86663       0.415892
       8272.4200         8274.6200        1.62776      0.0464070
       8272.6900         8274.9000        1.46990      0.0328005
       8272.9700         8275.1700        1.28266       0.189476
       8273.2400         8275.4500        1.12515       0.572788
       8273.5200         8275.7300       0.805866       0.647654
       8273.7900         8276.0000       0.660983       0.537223
       8274.0700         8276.2800        1.04758       0.490498
       8274.3500         8276.5600        1.77427       0.431460
       8274.6200         8276.8300        2.40738       0.393492
       8274.9000         8277.1100        2.93037        1.04202
       8275.1700         8277.3800        3.14031        1.01222
       8275.4500         8277.6600        3.39220       0.722222
       8275.7300         8277.9400        3.51670       0.571236
       8276.0000         8278.2100        3.57487       0.443503
       8276.2800         8278.4900        3.69483       0.448551
       8276.5600         8278.7600        3.26278       0.621986
       8276.8300         8279.0400        2.83300       0.716058
       8277.1100         8279.3200        2.09714       0.685418
       8277.3800         8279.5900        1.26025       0.575900
       8277.6600         8279.8700        1.02020       0.376594
       8277.9400         8280.1400       0.611340       0.326027
       8278.2100         8280.4200       0.523547       0.393879
       8278.4900         8280.7000       0.604586       0.394747
       8278.7600         8280.9700       0.253689       0.450208
       8279.0400         8281.2500       0.383088       0.351947
       8279.3200         8281.5300       0.152568       0.466545
       8279.5900         8281.8000       0.167949       0.684734
       8279.8700         8282.0800       0.371278       0.513210
       8280.1400         8282.3500       0.353628       0.654151
       8280.4200         8282.6300       0.530424       0.968794
       8280.7000         8282.9100       0.410646       0.834085
       8280.9700         8283.1800       0.436814       0.865682
       8281.2500         8283.4600       0.438100       0.816620
       8281.5300         8283.7400       0.328237       0.825219
       8281.8000         8284.0100       0.314140       0.409509
       8282.0800         8284.2900       0.413108       0.105242
       8282.3500         8284.5700       0.430933     -0.0771433
       8282.6300         8284.8400       0.384292      0.0494797
       8282.9100         8285.1200       0.265265     -0.0562706
       8283.1800         8285.3900       0.325050      -0.132207
       8283.4600         8285.6700       0.282346     -0.0996937
       8283.7400         8285.9500       0.597809     -0.0431143
       8284.0100         8286.2200       0.604217       0.278746
       8284.2900         8286.5000       0.788740       0.486153
       8284.5700         8286.7800       0.740149       0.455730
       8284.8400         8287.0500       0.703115       0.646362
       8285.1200         8287.3300        1.06604       0.709443
       8285.3900         8287.6100        1.43353       0.691813
       8285.6700         8287.8800        1.57129       0.824934
       8285.9500         8288.1600        1.70297       0.774529
       8286.2200         8288.4300        1.28794       0.782695
       8286.5000         8288.7100        1.37576       0.481641
       8286.7800         8288.9900        1.16995       0.532863
       8287.0500         8289.2600        1.08288       0.739674
       8287.3300         8289.5400       0.906007       0.824455
       8287.6100         8289.8200       0.782671       0.566903
       8287.8800         8290.0900       0.877191       0.635898
       8288.1600         8290.3700        1.10021       0.696322
       8288.4300         8290.6500        1.24613       0.753013
       8288.7100         8290.9200        1.19856       0.655088
       8288.9900         8291.2000        1.00623       0.483812
       8289.2600         8291.4800        1.05266       0.485609
       8289.5400         8291.7500        1.06039       0.235569
       8289.8200         8292.0300        1.25516       0.103427
       8290.0900         8292.3100        1.14018       0.179272
       8290.3700         8292.5800       0.841365     -0.0283123
       8290.6500         8292.8600       0.604634     -0.0912763
       8290.9200         8293.1400       0.406748       0.182256
       8291.2000         8293.4100       0.457337       0.241801
       8291.4800         8293.6900       0.635516       0.163095
       8291.7500         8293.9700       0.669667      0.0442990
       8292.0300         8294.2400       0.387650       0.186340
       8292.3100         8294.5200       0.163465       0.323896
       8292.5800         8294.8000       0.284900       0.487576
       8292.8600         8295.0700       0.554996       0.766281
       8293.1400         8295.3500       0.641771       0.831942
       8293.4100         8295.6300       0.415892       0.466151
       8293.6900         8295.9000      0.0464070       0.502333
       8293.9700         8296.1800      0.0328005       0.682116
       8294.2400         8296.4600       0.189476       0.686594
       8294.5200         8296.7300       0.572788       0.826564
       8294.8000         8297.0100       0.647654       0.747388
       8295.0700         8297.2900       0.537223       0.638785
       8295.3500         8297.5600       0.490498       0.675497
       8295.6300         8297.8400       0.431460       0.512730
       8295.9000         8298.1200       0.393492       0.317746
       8296.1800         8298.3900        1.04202       0.298477
       8296.4600         8298.6700        1.01222       0.306590
       8296.7300         8298.9500       0.722222       0.423987
       8297.0100         8299.2200       0.571236       0.603887
       8297.2900         8299.5000       0.443503       0.786803
       8297.5600         8299.7800       0.448551       0.556209
       8297.8400         8300.0500       0.621986       0.268565
       8298.1200         8300.3300       0.716058       0.445780
       8298.3900         8300.6100       0.685418       0.474009
       8298.6700         8300.8900       0.575900       0.449195
       8298.9500         8301.1600       0.376594       0.306139
       8299.2200         8301.4400       0.326027      0.0760271
       8299.5000         8301.7200       0.393879      -0.515934
       8299.7800         8301.9900       0.394747      -0.425211
       8300.0500         8302.2700       0.450208     -0.0524992
       8300.3300         8302.5500       0.351947       0.509184
       8300.6100         8302.8200       0.466545       0.616963
       8300.8900         8303.1000       0.684734       0.637622
       8301.1600         8303.3800       0.513210       0.584668
       8301.4400         8303.6500       0.654151       0.603753
       8301.7200         8303.9300       0.968794       0.591478
       8301.9900         8304.2100       0.834085       0.678414
       8302.2700         8304.4900       0.865682       0.438782
       8302.5500         8304.7600       0.816620       0.203913
       8302.8200         8305.0400       0.825219      -0.209918
       8303.1000         8305.3200       0.409509      -0.522764
       8303.3800         8305.5900       0.105242      -0.415813
       8303.6500         8305.8700     -0.0771433      -0.366566
       8303.9300         8306.1500      0.0494797      -0.190514
       8304.2100         8306.4200     -0.0562706      0.0890253
       8304.4900         8306.7000      -0.132207       0.326559
       8304.7600         8306.9800     -0.0996937       0.250544
       8305.0400         8307.2600     -0.0431143       0.126671
       8305.3200         8307.5300       0.278746       0.153952
       8305.5900         8307.8100       0.486153       0.406413
       8305.8700         8308.0900       0.455730       0.307388
       8306.1500         8308.3600       0.646362      0.0914092
       8306.4200         8308.6400       0.709443      0.0149040
       8306.7000         8308.9200       0.691813      -0.202451
       8306.9800         8309.2000       0.824934      -0.212770
       8307.2600         8309.4700       0.774529      -0.161056
       8307.5300         8309.7500       0.782695      0.0393779
       8307.8100         8310.0300       0.481641    -0.00851774
       8308.0900         8310.3000       0.532863      0.0264142
       8308.3600         8310.5800       0.739674    -0.00916967
       8308.6400         8310.8600       0.824455       0.358011
       8308.9200         8311.1400       0.566903       0.216570
       8309.2000         8311.4100       0.635898     -0.0645175
       8309.4700         8311.6900       0.696322      -0.172870
       8309.7500         8311.9700       0.753013      -0.289472
       8310.0300         8312.2500       0.655088      -0.328881
       8310.3000         8312.5200       0.483812      -0.179717
       8310.5800         8312.8000       0.485609      -0.337322
       8310.8600         8313.0800       0.235569      -0.252300
       8311.1400         8313.3500       0.103427      -0.359811
       8311.4100         8313.6300       0.179272      -0.191776
       8311.6900         8313.9100     -0.0283123       0.104286
       8311.9700         8314.1900     -0.0912763       0.215230
       8312.2500         8314.4600       0.182256       0.444896
       8312.5200         8314.7400       0.241801       0.603972
       8312.8000         8315.0200       0.163095       0.502003
       8313.0800         8315.3000      0.0442990       0.586049
       8313.3500         8315.5700       0.186340       0.925616
       8313.6300         8315.8500       0.323896       0.862595
       8313.9100         8316.1300       0.487576       0.883815
       8314.1900         8316.4100       0.766281        1.06183
       8314.4600         8316.6800       0.831942        1.11947
       8314.7400         8316.9600       0.466151       0.985157
