       lambda          SN_2796        SN_2803
       8530.7800         8533.0600     0.00983087        3.21724
       8531.0600         8533.3400       0.179402        2.74579
       8531.3500         8533.6200       0.168770        2.46647
       8531.6300         8533.9100       0.251906        2.19388
       8531.9200         8534.1900       0.454267        1.67537
       8532.2000         8534.4800       0.215038        1.18818
       8532.4900         8534.7600       0.228986       0.645133
       8532.7700         8535.0500       0.100970       0.497878
       8533.0600         8535.3300    0.000452953       0.810276
       8533.3400         8535.6200       0.114615       0.708258
       8533.6200         8535.9000       0.704628       0.641263
       8533.9100         8536.1900        1.78574       0.390113
       8534.1900         8536.4700        3.05530       0.157346
       8534.4800         8536.7600        4.44368      -0.139529
       8534.7600         8537.0400        6.73667      -0.521836
       8535.0500         8537.3300        8.40758      -0.610822
       8535.3300         8537.6100        9.24076      -0.723405
       8535.6200         8537.9000        9.58546      -0.804016
       8535.9000         8538.1800        9.71962      -0.896869
       8536.1900         8538.4600        9.23605      -0.932758
       8536.4700         8538.7500        8.52218      -0.720271
       8536.7600         8539.0300        7.93063      -0.623758
       8537.0400         8539.3200        7.89386      -0.670776
       8537.3300         8539.6000        7.20538      -0.629246
       8537.6100         8539.8900        6.86735      -0.629927
       8537.9000         8540.1700        6.50582      -0.464943
       8538.1800         8540.4600        6.19759      -0.594451
       8538.4600         8540.7400        5.85960      -0.423771
       8538.7500         8541.0300        5.12995      -0.191999
       8539.0300         8541.3100        4.36313      -0.159083
       8539.3200         8541.6000        3.40594      -0.164985
       8539.6000         8541.8800        1.83803      -0.101682
       8539.8900         8542.1700       0.397392     -0.0746054
       8540.1700         8542.4500      -0.971270     -0.0967043
       8540.4600         8542.7400       -1.56867      -0.157268
       8540.7400         8543.0200       -1.76150      -0.132599
       8541.0300         8543.3100       -1.88021      -0.273250
       8541.3100         8543.5900       -1.82316      -0.396679
       8541.6000         8543.8800       -1.58165      -0.319575
       8541.8800         8544.1600       -1.31075     -0.0223998
       8542.1700         8544.4500       -1.18804       0.483440
       8542.4500         8544.7300       -1.34096       0.764157
       8542.7400         8545.0200       -1.30174        1.03163
       8543.0200         8545.3000       -1.29491        1.23747
       8543.3100         8545.5900       -1.34447        1.47504
       8543.5900         8545.8700       -1.13204        1.60706
       8543.8800         8546.1600       -1.04816        1.67597
       8544.1600         8546.4400       -1.07964        1.65636
       8544.4500         8546.7300       -1.18168        1.38594
       8544.7300         8547.0100       -1.08266       0.889079
       8545.0200         8547.3000      -0.942303       0.846463
       8545.3000         8547.5800      -0.739841       0.821813
       8545.5900         8547.8700      -0.489152       0.768983
       8545.8700         8548.1500      -0.171810        1.00518
       8546.1600         8548.4400      -0.187332        1.31716
       8546.4400         8548.7200      0.0348103        1.48645
       8546.7300         8549.0100       0.138233        1.52910
       8547.0100         8549.2900     -0.0300331        1.77688
       8547.3000         8549.5800       0.180638        1.97651
       8547.5800         8549.8600       0.407643        2.04468
       8547.8700         8550.1500       0.440286        1.90394
       8548.1500         8550.4400       0.464356        1.88622
       8548.4400         8550.7200       0.259950        1.58766
       8548.7200         8551.0100       0.198882        1.20243
       8549.0100         8551.2900     -0.0159580        1.00255
       8549.2900         8551.5800       0.140367       0.799763
       8549.5800         8551.8600       0.704389       0.594888
       8549.8600         8552.1500        1.03062       0.340978
       8550.1500         8552.4300        1.59118       0.123855
       8550.4400         8552.7200        1.94379     -0.0581411
       8550.7200         8553.0000        2.15517      -0.157148
       8551.0100         8553.2900        2.73169      -0.357147
       8551.2900         8553.5700        3.56547      -0.223500
