       lambda          SN_2796        SN_2803
       8505.2100         8508.6100       -13.8886        98.0819
       8505.4900         8508.9000       -13.1516        87.7742
       8505.7700         8509.1800       -12.2656        76.4611
       8506.0600         8509.4600       -11.8628        66.8679
       8506.3400         8509.7500       -11.3910        58.5585
       8506.6300         8510.0300       -10.5313        50.5523
       8506.9100         8510.3200       -8.40718        41.5869
       8507.1900         8510.6000       -3.94947        31.2737
       8507.4800         8510.8800        1.66789        20.9956
       8507.7600         8511.1700        7.55410        11.7053
       8508.0400         8511.4500        12.1404        3.68667
       8508.3300         8511.7300        15.3267       -2.21723
       8508.6100         8512.0200        17.5771       -6.38065
       8508.9000         8512.3000        19.2470       -8.87331
       8509.1800         8512.5900        20.0790       -10.4418
       8509.4600         8512.8700        19.9859       -12.0488
       8509.7500         8513.1500        19.7204       -14.0866
       8510.0300         8513.4400        19.4283       -16.1681
       8510.3200         8513.7200        18.6469       -17.7923
       8510.6000         8514.0100        17.1842       -18.1853
       8510.8800         8514.2900        14.7609       -17.6645
       8511.1700         8514.5700        11.8576       -16.6036
       8511.4500         8514.8600        8.76772       -15.2022
       8511.7300         8515.1400        6.42993       -13.8025
       8512.0200         8515.4300        5.10114       -12.5415
       8512.3000         8515.7100        4.32508       -10.7502
       8512.5900         8515.9900        3.83631       -8.76915
       8512.8700         8516.2800        3.30984       -6.93222
       8513.1500         8516.5600        3.04217       -5.04803
       8513.4400         8516.8500        2.69478       -3.61546
       8513.7200         8517.1300        2.20939       -2.75444
       8514.0100         8517.4200       0.907053       -2.32020
       8514.2900         8517.7000      -0.894553       -2.13060
       8514.5700         8517.9800       -3.10815       -2.07749
       8514.8600         8518.2700       -5.29012       -2.10944
       8515.1400         8518.5500       -7.13733       -2.32705
       8515.4300         8518.8400       -8.09096       -2.55250
       8515.7100         8519.1200       -8.51050       -2.77995
       8515.9900         8519.4000       -8.65465       -3.25730
       8516.2800         8519.6900       -8.58069       -3.71113
       8516.5600         8519.9700       -7.88985       -3.90699
       8516.8500         8520.2600       -6.49380       -4.19834
       8517.1300         8520.5400       -4.32599       -4.21379
       8517.4200         8520.8300       -2.18430       -4.02728
       8517.7000         8521.1100      -0.263527       -3.51579
       8517.9800         8521.3900        1.10602       -2.99880
       8518.2700         8521.6800        2.43559       -2.41716
       8518.5500         8521.9600        3.74583       -1.93763
       8518.8400         8522.2500        4.83821       -1.33806
       8519.1200         8522.5300        5.54936      -0.903610
       8519.4000         8522.8100        5.50955      -0.368849
       8519.6900         8523.1000        5.20215      0.0268423
       8519.9700         8523.3800        4.59577       0.497064
       8520.2600         8523.6700        3.18505       0.504889
       8520.5400         8523.9500        1.05778       0.637798
       8520.8300         8524.2400       -1.98724       0.670544
       8521.1100         8524.5200       -5.20113       0.752638
       8521.3900         8524.8000       -8.04393        1.05000
       8521.6800         8525.0900       -10.8778        1.43647
       8521.9600         8525.3700       -13.6430        2.06075
       8522.2500         8525.6600       -16.2554        2.60186
       8522.5300         8525.9400       -18.2157        3.21506
       8522.8100         8526.2300       -19.2481        3.83125
       8523.1000         8526.5100       -18.3612        4.21672
       8523.3800         8526.8000       -15.4275        4.66984
       8523.6700         8527.0800       -10.1672        4.95145
       8523.9500         8527.3600       -3.39321        5.21897
       8524.2400         8527.6500        4.24987        5.40473
       8524.5200         8527.9300        12.5793        5.47426
       8524.8000         8528.2200        21.3720        5.58340
       8525.0900         8528.5000        31.1093        5.43116
       8525.3700         8528.7900        42.7196        5.06229
       8525.6600         8529.0700        56.3014        4.94078
       8525.9400         8529.3600        71.1962        4.93322
       8526.2300         8529.6400        85.5058        4.99618
       8526.5100         8529.9200        97.1487        4.99196
       8526.8000         8530.2100        101.890        5.00980
       8527.0800         8530.4900        98.0819        5.00533
       8527.3600         8530.7800        87.7742        4.91946
       8527.6500         8531.0600        76.4611        5.00980
       8527.9300         8531.3500        66.8679        5.16181
       8528.2200         8531.6300        58.5585        5.36264
       8528.5000         8531.9200        50.5523        5.55169
       8528.7900         8532.2000        41.5869        5.85842
       8529.0700         8532.4900        31.2737        6.21158
       8529.3600         8532.7700        20.9956        6.08065
