       lambda          SN_2796        SN_2803
       8675.6900         8679.1700       -2.05231       0.982844
       8675.9800         8679.4600       -1.95099       0.943123
       8676.2700         8679.7500       -1.79606        1.07587
       8676.5600         8680.0400       -1.69181        1.02393
       8676.8500         8680.3300       -1.48023       0.953737
       8677.1400         8680.6200       -1.37339       0.981213
       8677.4300         8680.9000       -1.38033        1.11351
       8677.7200         8681.1900       -1.33537        1.26783
       8678.0100         8681.4800       -1.28760        1.75369
       8678.3000         8681.7700       -1.19987        2.37183
       8678.5900         8682.0600       -1.14048        2.64521
       8678.8800         8682.3500       -1.12784        2.80962
       8679.1700         8682.6400       -1.20917        3.05252
       8679.4600         8682.9300       -1.10987        3.01588
       8679.7500         8683.2200       -1.00643        3.13407
       8680.0400         8683.5100       -1.01668        3.05079
       8680.3300         8683.8000      -0.958342        2.92281
       8680.6200         8684.0900      -0.867893        2.87003
       8680.9000         8684.3800      -0.670866        2.94121
       8681.1900         8684.6700      -0.609847        2.77266
       8681.4800         8684.9600      -0.468373        2.57180
       8681.7700         8685.2500      -0.341547        2.04296
       8682.0600         8685.5400      -0.331359        1.39838
       8682.3500         8685.8300      -0.209758       0.809621
       8682.6400         8686.1200     -0.0933042       0.587895
       8682.9300         8686.4100     -0.0704031       0.520296
       8683.2200         8686.7000      0.0791431       0.574709
       8683.5100         8686.9900      0.0783280       0.406962
       8683.8000         8687.2800       0.209604       0.305160
       8684.0900         8687.5700       0.319526       0.294727
       8684.3800         8687.8600       0.367190       0.282521
       8684.6700         8688.1500       0.172067       0.167995
       8684.9600         8688.4400       0.255625      0.0387643
       8685.2500         8688.7300       0.531136     -0.0321232
       8685.5400         8689.0200        1.02325      -0.156645
       8685.8300         8689.3100        1.86560      -0.249075
       8686.1200         8689.6000        2.84944      -0.114160
       8686.4100         8689.8900        3.53104      -0.163106
       8686.7000         8690.1800        4.11702      -0.310283
       8686.9900         8690.4600        4.26033      -0.452944
       8687.2800         8690.7500        4.52308      -0.499227
       8687.5700         8691.0400        4.69225      -0.550106
       8687.8600         8691.3300        4.77043      -0.538378
       8688.1500         8691.6200        4.95455      -0.594088
       8688.4400         8691.9200        5.37116      -0.467310
       8688.7300         8692.2100        5.42157      -0.233842
       8689.0200         8692.4900        5.28606      0.0912342
       8689.3100         8692.7800        4.87668       0.733339
       8689.6000         8693.0700        4.14924        1.13932
       8689.8900         8693.3600        3.33737        1.41799
       8690.1800         8693.6500        2.93099        1.52978
       8690.4600         8693.9400        2.47132        1.73958
       8690.7500         8694.2300        2.45019        1.88562
       8691.0400         8694.5200        2.45020        2.10587
       8691.3300         8694.8100        2.54569        2.14703
       8691.6200         8695.1000        2.52081        2.39068
       8691.9200         8695.3900        2.52533        2.37045
       8692.2100         8695.6800        2.37429        2.19261
       8692.4900         8695.9700        2.36177        1.97720
       8692.7800         8696.2600        2.46664        1.69171
       8693.0700         8696.5500        2.59194        1.16393
       8693.3600         8696.8400        2.68093       0.744111
       8693.6500         8697.1300        2.59863       0.449336
       8693.9400         8697.4200        2.33662       0.364488
       8694.2300         8697.7100        2.32438       0.267715
       8694.5200         8698.0000        2.25452       0.104326
       8694.8100         8698.2900        2.09036     -0.0328147
       8695.1000         8698.5900        1.90805     -0.0460486
       8695.3900         8698.8800        1.94055      -0.209102
       8695.6800         8699.1700        1.65386      -0.127805
       8695.9700         8699.4600        1.66940     -0.0756502
       8696.2600         8699.7500        1.65497      0.0990971
       8696.5500         8700.0400        1.46556      0.0243701
       8696.8400         8700.3300        1.23751      0.0142823
       8697.1300         8700.6200        1.22118     -0.0715925
       8697.4200         8700.9100        1.11729     -0.0660369
       8697.7100         8701.2000       0.954477     -0.0658632
       8698.0000         8701.4900       0.982844      -0.149825
       8698.2900         8701.7800       0.943123      -0.273169
       8698.5900         8702.0700        1.07587      -0.297108
       8698.8800         8702.3600        1.02393      -0.206854
       8699.1700         8702.6500       0.953737      -0.131323
       8699.4600         8702.9400       0.981213     -0.0372404
       8699.7500         8703.2300        1.11351     0.00161661
       8700.0400         8703.5200        1.26783     -0.0411499
       8700.3300         8703.8100        1.75369     0.00651903
       8700.6200         8704.1000        2.37183       0.114730
       8700.9100         8704.3900        2.64521       0.425076
       8701.2000         8704.6800        2.80962       0.712097
       8701.4900         8704.9700        3.05252        1.01876
       8701.7800         8705.2600        3.01588        1.34442
       8702.0700         8705.5500        3.13407        1.76089
       8702.3600         8705.8400        3.05079        2.10880
       8702.6500         8706.1300        2.92281        2.34704
       8702.9400         8706.4200        2.87003        2.77303
       8703.2300         8706.7100        2.94121        3.21615
       8703.5200         8707.0000        2.77266        3.61735
       8703.8100         8707.2900        2.57180        3.81594
       8704.1000         8707.5800        2.04296        4.10239
       8704.3900         8707.8800        1.39838        4.31866
       8704.6800         8708.1700       0.809621        4.67257
       8704.9700         8708.4600       0.587895        5.01582
       8705.2600         8708.7500       0.520296        5.42893
       8705.5500         8709.0400       0.574709        5.70480
       8705.8400         8709.3300       0.406962        6.10102
       8706.1300         8709.6200       0.305160        6.23751
       8706.4200         8709.9100       0.294727        6.16821
       8706.7100         8710.2000       0.282521        5.59240
       8707.0000         8710.4900       0.167995        5.01516
       8707.2900         8710.7800      0.0387643        4.56913
       8707.5800         8711.0700     -0.0321232        4.30938
       8707.8800         8711.3600      -0.156645        3.96376
       8708.1700         8711.6500      -0.249075        3.68093
       8708.4600         8711.9400      -0.114160        3.18711
       8708.7500         8712.2300      -0.163106        2.46870
       8709.0400         8712.5200      -0.310283        1.83402
       8709.3300         8712.8100      -0.452944        1.21121
       8709.6200         8713.1100      -0.499227       0.525882
       8709.9100         8713.4000      -0.550106      0.0326764
       8710.2000         8713.6900      -0.538378      -0.225809
       8710.4900         8713.9800      -0.594088      -0.259854
       8710.7800         8714.2700      -0.467310      -0.263911
       8711.0700         8714.5600      -0.233842      -0.318748
       8711.3600         8714.8500      0.0912342      -0.466349
       8711.6500         8715.1400       0.733339      -0.392763
       8711.9400         8715.4300        1.13932      -0.498968
       8712.2300         8715.7200        1.41799      -0.600179
       8712.5200         8716.0100        1.52978      -0.554626
       8712.8100         8716.3000        1.73958      -0.491397
       8713.1100         8716.5900        1.88562     -0.0150112
       8713.4000         8716.8800        2.10587       0.567909
       8713.6900         8717.1700        2.14703       0.932958
       8713.9800         8717.4700        2.39068        1.00448
       8714.2700         8717.7600        2.37045       0.990732
       8714.5600         8718.0500        2.19261       0.949239
       8714.8500         8718.3400        1.97720       0.970994
       8715.1400         8718.6300        1.69171        1.25790
       8715.4300         8718.9200        1.16393        1.24424
       8715.7200         8719.2100       0.744111        1.24576
       8716.0100         8719.5000       0.449336        1.37114
       8716.3000         8719.7900       0.364488        1.49067
       8716.5900         8720.0800       0.267715        1.39722
       8716.8800         8720.3700       0.104326        1.08561
       8717.1700         8720.6700     -0.0328147       0.698498
       8717.4700         8720.9600     -0.0460486       0.487125
       8717.7600         8721.2500      -0.209102       0.658776
       8718.0500         8721.5400      -0.127805       0.803372
       8718.3400         8721.8300     -0.0756502       0.843144
       8718.6300         8722.1200      0.0990971       0.710432
       8718.9200         8722.4100      0.0243701       0.564517
       8719.2100         8722.7000      0.0142823       0.409912
       8719.5000         8722.9900     -0.0715925       0.384798
       8719.7900         8723.2800     -0.0660369       0.193144
       8720.0800         8723.5700     -0.0658632      0.0389852
       8720.3700         8723.8700      -0.149825    -0.00318247
       8720.6700         8724.1600      -0.273169      -0.224187
       8720.9600         8724.4500      -0.297108      -0.402217
       8721.2500         8724.7400      -0.206854      -0.617959
       8721.5400         8725.0300      -0.131323       -1.00009
       8721.8300         8725.3200     -0.0372404       -1.15754
       8722.1200         8725.6100     0.00161661       -1.18266
       8722.4100         8725.9000     -0.0411499       -1.10282
       8722.7000         8726.1900     0.00651903       -1.25590
       8722.9900         8726.4800       0.114730       -1.25649
       8723.2800         8726.7800       0.425076       -1.29167
       8723.5700         8727.0700       0.712097       -1.27177
       8723.8700         8727.3600        1.01876       -1.28831
       8724.1600         8727.6500        1.34442       -1.31130
       8724.4500         8727.9400        1.76089       -1.28740
       8724.7400         8728.2300        2.10880       -1.29091
       8725.0300         8728.5200        2.34704       -1.28281
       8725.3200         8728.8100        2.77303      -0.957699
       8725.6100         8729.1000        3.21615      -0.739761
       8725.9000         8729.4000        3.61735      -0.356772
       8726.1900         8729.6900        3.81594       0.244288
       8726.4800         8729.9800        4.10239       0.897783
       8726.7800         8730.2700        4.31866        1.46462
       8727.0700         8730.5600        4.67257        1.69199
       8727.3600         8730.8500        5.01582        1.89413
       8727.6500         8731.1400        5.42893        2.38603
       8727.9400         8731.4300        5.70480        2.65708
       8728.2300         8731.7300        6.10102        2.78628
       8728.5200         8732.0200        6.23751        2.70807
       8728.8100         8732.3100        6.16821        2.73816
       8729.1000         8732.6000        5.59240        2.55559
       8729.4000         8732.8900        5.01516        2.32150
       8729.6900         8733.1800        4.56913        1.88062
       8729.9800         8733.4700        4.30938        1.17653
       8730.2700         8733.7600        3.96376       0.575841
