       lambda          SN_2796        SN_2803
       8506.3400         8507.4800       -10.2385        136.437
       8506.6300         8507.7600       -12.5020        134.700
       8506.9100         8508.0400       -16.5410        120.703
       8507.1900         8508.3300       -18.7210        94.9333
       8507.4800         8508.6100       -18.7564        65.7245
       8507.7600         8508.9000       -17.2750        41.0391
       8508.0400         8509.1800       -14.7806        22.7051
       8508.3300         8509.4600       -11.6169        12.5739
       8508.6100         8509.7500       -8.13411        8.61849
       8508.9000         8510.0300       -2.07452        8.30679
       8509.1800         8510.3200        7.55501        7.31189
       8509.4600         8510.6000        20.6439        3.47174
       8509.7500         8510.8800        36.2631       -3.08077
       8510.0300         8511.1700        51.5662       -10.9271
       8510.3200         8511.4500        56.9791       -17.4659
       8510.6000         8511.7300        51.8939       -20.5982
       8510.8800         8512.0200        38.4348       -21.5565
       8511.1700         8512.3000        22.4192       -21.8280
       8511.4500         8512.5900        8.73931       -20.8824
       8511.7300         8512.8700     -0.0504042       -20.4268
       8512.0200         8513.1500       -4.23293       -19.9160
       8512.3000         8513.4400       -5.62056       -18.3579
       8512.5900         8513.7200       -4.25591       -16.1816
       8512.8700         8514.0100       0.201181       -13.9766
       8513.1500         8514.2900        7.31231       -11.6739
       8513.4400         8514.5700        14.4886       -9.65366
       8513.7200         8514.8600        19.2692       -8.10076
       8514.0100         8515.1400        19.0370       -6.49593
       8514.2900         8515.4300        14.4722       -5.29542
       8514.5700         8515.7100        7.70787       -3.19614
       8514.8600         8515.9900       0.736369       -1.37778
       8515.1400         8516.2800       -5.14211       0.501642
       8515.4300         8516.5600       -8.40272        2.11007
       8515.7100         8516.8500       -10.1666        3.10970
       8515.9900         8517.1300       -10.8393        2.39058
       8516.2800         8517.4200       -11.4844       0.289381
       8516.5600         8517.7000       -10.4434       -2.06979
       8516.8500         8517.9800       -8.68559       -4.20425
       8517.1300         8518.2700       -6.87286       -5.37715
       8517.4200         8518.5500       -6.19292       -6.06903
       8517.7000         8518.8400       -5.81096       -6.03880
       8517.9800         8519.1200       -6.58389       -6.14995
       8518.2700         8519.4000       -7.60585       -6.07433
       8518.5500         8519.6900       -8.15305       -5.84396
       8518.8400         8519.9700       -7.12433       -4.08280
       8519.1200         8520.2600       -4.26273       -2.61704
       8519.4000         8520.5400       0.655404      -0.932354
       8519.6900         8520.8300        6.07107       0.268968
       8519.9700         8521.1100        10.7593        1.08438
       8520.2600         8521.3900        14.0013       0.916974
       8520.5400         8521.6800        15.4449       0.881201
       8520.8300         8521.9600        14.2244       0.419816
       8521.1100         8522.2500        11.6571       0.102896
       8521.3900         8522.5300        8.76077      -0.360110
       8521.6800         8522.8100        4.60391      -0.433329
       8521.9600         8523.1000      -0.203828      -0.506214
       8522.2500         8523.3800       -5.53689      0.0195900
       8522.5300         8523.6700       -10.6537       0.593364
       8522.8100         8523.9500       -14.6040        1.36677
       8523.1000         8524.2400       -17.1180        1.77611
       8523.3800         8524.5200       -19.4408        2.17318
       8523.6700         8524.8000       -21.3448        2.52464
       8523.9500         8525.0900       -23.2122        3.33485
       8524.2400         8525.3700       -24.3770        4.59701
       8524.5200         8525.6600       -24.1134        5.50091
       8524.8000         8525.9400       -23.0455        6.54573
       8525.0900         8526.2300       -21.0640        6.87007
       8525.3700         8526.5100       -15.6543        6.73094
       8525.6600         8526.8000       -5.21895        6.23434
       8525.9400         8527.0800        12.9657        6.10513
       8526.2300         8527.3600        37.8895        5.82175
       8526.5100         8527.6500        67.7927        5.47125
       8526.8000         8527.9300        95.9399        5.12818
       8527.0800         8528.2200        113.341        4.83157
       8527.3600         8528.5000        119.415        4.33249
       8527.6500         8528.7900        122.946        3.73100
       8527.9300         8529.0700        130.494        3.90805
       8528.2200         8529.3600        136.437        4.25045
       8528.5000         8529.6400        134.700        4.80372
       8528.7900         8529.9200        120.703        5.40501
       8529.0700         8530.2100        94.9333        6.49467
       8529.3600         8530.4900        65.7245        6.40310
       8529.6400         8530.7800        41.0391        6.02909
       8529.9200         8531.0600        22.7051        5.85246
       8530.2100         8531.3500        12.5739        6.02395
       8530.4900         8531.6300        8.61849        6.19157
       8530.7800         8531.9200        8.30679        6.31354
       8531.0600         8532.2000        7.31189        6.59334
       8531.3500         8532.4900        3.47174        6.16329
       8531.6300         8532.7700       -3.08077        5.68601
       8531.9200         8533.0600       -10.9271        5.22260
       8532.2000         8533.3400       -17.4659        4.97686
       8532.4900         8533.6200       -20.5982        4.52074
       8532.7700         8533.9100       -21.5565        4.34259
       8533.0600         8534.1900       -21.8280        4.63841
       8533.3400         8534.4800       -20.8824        4.77768
       8533.6200         8534.7600       -20.4268        4.59204
       8533.9100         8535.0500       -19.9160        4.52964
       8534.1900         8535.3300       -18.3579        4.52386
       8534.4800         8535.6200       -16.1816        4.02704
       8534.7600         8535.9000       -13.9766        4.16159
       8535.0500         8536.1900       -11.6739        4.19610
       8535.3300         8536.4700       -9.65366        4.51501
       8535.6200         8536.7600       -8.10076        4.49901
       8535.9000         8537.0400       -6.49593        5.44821
       8536.1900         8537.3300       -5.29542        6.36019
       8536.4700         8537.6100       -3.19614        8.29222
       8536.7600         8537.9000       -1.37778        10.8993
       8537.0400         8538.1800       0.501642        13.4309
       8537.3300         8538.4600        2.11007        14.3349
       8537.6100         8538.7500        3.10970        13.9329
       8537.9000         8539.0300        2.39058        12.0269
       8538.1800         8539.3200       0.289381        8.80611
       8538.4600         8539.6000       -2.06979        6.43238
       8538.7500         8539.8900       -4.20425        5.14607
       8539.0300         8540.1700       -5.37715        4.60280
       8539.3200         8540.4600       -6.06903        4.59819
       8539.6000         8540.7400       -6.03880        4.55844
       8539.8900         8541.0300       -6.14995        4.00249
       8540.1700         8541.3100       -6.07433        3.26670
       8540.4600         8541.6000       -5.84396        2.71130
       8540.7400         8541.8800       -4.08280        1.74174
       8541.0300         8542.1700       -2.61704        1.28539
       8541.3100         8542.4500      -0.932354       0.896806
       8541.6000         8542.7400       0.268968       0.667221
       8541.8800         8543.0200        1.08438      0.0147891
       8542.1700         8543.3100       0.916974       0.161338
       8542.4500         8543.5900       0.881201       0.305709
       8542.7400         8543.8800       0.419816       0.515746
       8543.0200         8544.1600       0.102896       0.181415
       8543.3100         8544.4500      -0.360110       0.120118
