       lambda          SN_2796        SN_2803
       8494.1500         8495.2800        7.59916     0.00671077
       8494.4300         8495.5700      -0.965784      0.0399298
       8494.7200         8495.8500       -5.49441     -0.0284304
       8495.0000         8496.1300       -7.23069      -0.414287
       8495.2800         8496.4200       -7.36687      -0.781693
       8495.5700         8496.7000       -6.96376      -0.837450
       8495.8500         8496.9800       -6.41027      -0.519715
       8496.1300         8497.2700       -6.38489      -0.527376
       8496.4200         8497.5500       -6.74192      0.0705350
       8496.7000         8497.8300       -7.10415       0.511385
       8496.9800         8498.1200       -8.24839       0.901247
       8497.2700         8498.4000       -9.28943       0.574169
       8497.5500         8498.6800       -9.92125       0.464427
       8497.8300         8498.9700       -10.7171       0.226947
       8498.1200         8499.2500       -10.6557      -0.282983
       8498.4000         8499.5400       -10.3838      -0.258422
       8498.6800         8499.8200       -9.68180      -0.307510
       8498.9700         8500.1000       -9.64194      -0.490619
       8499.2500         8500.3900       -8.41183      -0.686843
       8499.5400         8500.6700       -7.71421      -0.456215
       8499.8200         8500.9500       -6.01875      -0.641522
       8500.1000         8501.2400       -4.69704      -0.651961
       8500.3900         8501.5200       -2.48223      -0.221605
       8500.6700         8501.8000      -0.174853      -0.229622
       8500.9500         8502.0900        1.84348      -0.174168
       8501.2400         8502.3700        3.27275     -0.0895082
       8501.5200         8502.6500        5.01705       0.293587
       8501.8000         8502.9400        6.80351       0.646988
       8502.0900         8503.2200        7.94119        1.14189
       8502.3700         8503.5000        9.93766        1.40083
       8502.6500         8503.7900        12.0697        1.99193
       8502.9400         8504.0700        13.1685        2.60013
       8503.2200         8504.3600        11.5667        2.90756
       8503.5000         8504.6400        8.48916        3.14369
       8503.7900         8504.9200        3.98668        3.32042
       8504.0700         8505.2100     -0.0416983        2.66453
       8504.3600         8505.4900       -2.94065        1.81935
       8504.6400         8505.7700       -4.40716        1.13793
       8504.9200         8506.0600       -4.87394       0.278280
       8505.2100         8506.3400       -5.05488      -0.160124
       8505.4900         8506.6300       -4.43358      -0.247947
       8505.7700         8506.9100       -4.00388      -0.332785
       8506.0600         8507.1900       -3.70779     -0.0667083
