system,comp,sol,element,rest_l,z,z_err,c_d,cd_low,cd_high,b,mb_low,b_high,ew_flux,ew_vp,ew_er,s3,s5
13,a,S0927,CIV,1548.2049,4.39526,5.94E-05,12.8661,12.3798,13.2391,20.8606,5.80812,42.129,0.0276568,0.0263846,0.00324325,0.698843,0.494698
13,a,S0927,CIV,1550.7785,4.39526,5.94E-05,12.8661,12.3798,13.2391,20.8606,5.80812,42.129,0.0139889,0.0135827,0.00461388,-99,-99
14,a,S0927,CIV,1548.2049,4.47103,1.96E-05,13.3549,13.2265,13.4934,13.962,8.30573,20.6544,0.0662629,0.0698762,0.00394311,0.831496,0.831496
14,a,S0927,CIV,1550.7785,4.47103,1.96E-05,13.3549,13.2265,13.4934,13.962,8.30573,20.6544,0.045343,0.0391424,0.0038121,-99,-99
15,a,S0927,CIV,1548.2049,4.51367,5.18E-05,12.8602,12.5642,13.04,5.04663,2.19662,14.6494,0.0244664,0.0232265,0.00321495,0.75302,0.665944
15,a,S0927,CIV,1550.7785,4.51367,5.18E-05,12.8602,12.5642,13.04,5.04663,2.19662,14.6494,0.0136148,0.0129891,0.00517828,-99,-99
15,b,S0927,CIV,1548.2049,4.51446,4.59E-05,12.9342,12.7579,13.1023,5.20637,2.09529,17.4142,0.0249396,0.0258189,0.00309116,0.860478,0.747225
15,b,S0927,CIV,1550.7785,4.51446,4.59E-05,12.9342,12.7579,13.1023,5.20637,2.09529,17.4142,0.0121933,0.0149475,0.00604723,-99,-99
16,b,S0927,MgII,2796.3543,4.60564,5.64E-05,12.5725,12.4197,12.687,25.7324,23.8911,27.1162,0.140237,0.129935,0.00921688,0.551,0.482
16,b,S0927,MgII,2803.5315,4.60564,5.64E-05,12.5725,12.4197,12.687,25.7324,23.8911,27.1162,0.0455481,0.0683931,0.00972297,0.551,0.482
16,a,S0927,CIV,1548.2049,4.60495,1.79E-05,13.6459,12.7919,14.3002,1.12045,1,1.3888,0.0264059,0.0207647,0.00503236,0.9278,0.9278
16,a,S0927,CIV,1550.7785,4.60495,1.79E-05,13.6459,12.7919,14.3002,1.12045,1,1.3888,0.0219829,0.0186654,0.0036391,-99,-99
16,c,S0927,CIV,1548.2049,4.60568,2.95E-05,13.1256,12.7804,13.3317,1.9635,1.26078,2.63313,0.0303533,0.0231664,0.00493863,0.699783,0.699783
16,c,S0927,CIV,1550.7785,4.60568,2.95E-05,13.1256,12.7804,13.3317,1.9635,1.26078,2.63313,0.0199743,0.0166081,0.00353214,-99,-99
16,d,S0927,CIV,1548.2049,4.60632,0.000662,13.2013,12.3301,13.7095,1,1,1.29833,0.0187782,0.0157511,0.00360349,0.767776,0.767776
16,e,S0927,CIV,1550.7785,4.60632,0.000662,13.2013,12.3301,13.7095,1,1,1.29833,0.0136438,0.0129037,0.00394738,-99,-99
16,d,S0927,AlII,1670.7886,4.60576,0.0061,11.8976,11.6814,11.6602,1,1.64289,1,0.0707654,0.0142037,0.00581649,-99,-99
17,a,S0927,CIV,1548.2049,4.62376,3.71E-05,13.6726,13.5051,13.8248,49.9171,40.5824,61.6692,0.150584,0.150179,0.00551008,0.955008,0.955008
17,a,S0927,CIV,1550.7785,4.62376,3.71E-05,13.6726,13.5051,13.8248,49.9171,40.5824,61.6692,0.0806285,0.080846,0.00546266,-99,-99
18,a,S0927,CIV,1548.2049,4.69331,5.31E-05,13.2242,13.0122,13.3931,27.457,20.5078,33.1373,0.0564785,0.0577449,0.00446675,0.842512,0.842512
18,a,S0927,CIV,1550.7785,4.69331,5.31E-05,13.2242,13.0122,13.3931,27.457,20.5078,33.1373,0.0280511,0.0303621,0.0176103,-99,-99
19,a,S0927,MgII,2796.3543,4.74033,8.60E-05,12.3243,11.7135,12.8664,1.16649,1,1.74925,0.0303069,0.0269587,0.00892943,0.125,0
19,a,S0927,MgII,2803.5315,4.74033,8.60E-05,12.3243,11.7135,12.8664,1.16649,1,1.74925,0.0237561,0.0224621,0.0094159,0.125,0
20,a,S0927,MgII,2796.3543,4.99166,0.000195948,11.9403,11.4576,12.2732,3.5056,1.00092,14.9648,0.0303847,0.0296533,0.0174622,0,0
20,a,S0927,MgII,2803.5315,4.99166,0.000196,11.9403,11.4576,12.2732,3.5056,1.00092,14.9648,0.0121495,0.0142686,0.00637283,0,0
21,a,S0927,CIV,1548.2049,5.01455,4.42E-05,13.5949,13.4988,13.6843,21.8589,18.4953,25.0167,0.117856,0.113114,0.0126118,0.909418,0.909418
21,a,S0927,CIV,1550.7785,5.01455,4.42E-05,13.5949,13.4988,13.6843,21.8589,18.4953,25.0167,0.0869874,0.0642167,0.0217275,-99,-99
21,b,S0927,SiIV,1393.7602,5.01469,1.80E-05,13.2071,13.1144,13.2971,19.2694,15.8408,23.0275,0.101036,0.100377,0.00314733,0.963176,0.963176
21,b,S0927,SiIV,1402.7729,5.01469,1.80E-05,13.2071,13.1144,13.2971,19.2694,15.8408,23.0275,0.0590796,0.0579889,0.00416115,-99,-99
22,a,S0927,MgII,2796.3543,5.12161,9.52E-05,12.1085,11.5318,12.5809,1.07343,1,1.97089,0.0189427,0.0219619,0.00822771,0.0117,0
22,a,S0927,MgII,2803.5315,5.12161,9.52E-05,12.1085,11.5318,12.5809,1.07343,1,1.97089,0.00590205,0.017631,0.00850718,0.0117,0
